stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,6.29,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,3,0,0,0,0,1,0,0,0,0,14,1,0,4,7,0,0,0,0,2,1,5,5,0,1,0
 24-34,0,0,0,4.93,0,0.82,0,0,1.64,0.82,0,0,0,0,5.75,0,0,3.28,11.49,0,0,0,0,0,0,0,1.64,0,0.82,0
 36-46,0,0,0,4.03,0,2.42,0,0,0.81,0,0,0,0,0,14.5,0,0,4.03,7.25,0,0.81,0,0,0,0.81,0,0.81,0,0,0
 48-58,0,0,0.57,1.72,0,5.16,0,1.15,0.57,0,0,0.57,0,0,20.66,0,0.57,7.46,8.03,0.57,0.57,0,0,0,0,0,1.15,0,0,0
 60-70,0,0,0.98,1.96,0,8.83,0.98,0,0,0,0,0,0,0,75.58,0,3.93,3.93,8.83,0.98,0,0,0,0,0,0,1.96,0.98,0,2.94
 72-82,0,0,0,0.98,0,21.6,0,0,0.98,0,0,0,0,0,119.76,0,5.89,6.87,13.74,0,0.98,0,0,0,0,0,3.93,2.94,0,18.65
 84-94,0,0,0,0,1.06,8.5,1.06,0,1.06,0,0,0,1.06,0,78.59,0,5.31,5.31,4.25,1.06,1.06,0,0,0,0,0,0,7.43,0,10.62
 96-106,0,0,0,5.46,0,14.21,1.09,0,2.19,0,1.09,0,1.09,0,87.43,0,0,5.46,6.56,2.19,1.09,0,1.09,0,0,0,0,1.09,1.09,16.39
108-118,0,0,0,3.06,0.77,9.96,0,0.77,1.53,0,0,0,3.83,0,76.6,0,1.53,13.79,7.66,0.77,0.77,0,0,0,0,0,0,1.53,0,5.36
120,0,0,0,1.96,0,3.92,0,0,0,0,0,0,3.92,1.96,60.75,0,0,3.92,7.84,1.96,0,0,1.96,0,0,0,0,1.96,0,7.84
