stage,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,1,0,0,0,0,2,0,1,1,0,1,0,2,0,1,0,0,0,0,0
 24-34,0,0.82,0.82,0,0,0,0,0,0,0,0,7.39,0,2.46,4.1,0,0,0,0,0,0,2.46,0,3.28,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,4.83,0,2.42,0,0,0,0,0,0,0,0,0,0.81,0,0
 48-58,0,0.57,0.57,0.57,0,0,0,2.87,0,0,0,14.92,0,2.87,2.87,0,0,0.57,0,0,0,0.57,0,1.15,0,0
 60-70,0,0.98,0,0,0,0.98,0.98,0.98,0,0,0,42.21,0.98,8.83,2.94,0,0,0.98,0,0,0,0,1.96,0.98,0,0.98
 72-82,0,0,0,0.98,0,0,0.98,0,0,0,0,16.69,0.98,1.96,2.94,0.98,0,0,0,0,0,0,0.98,1.96,0.98,0.98
 84-94,0,0,2.12,0,1.06,2.12,1.06,1.06,1.06,0,0,19.12,2.12,0,1.06,0,0,0,0,1.06,0,0,1.06,3.19,0,2.12
 96-106,0,0,2.19,0,1.09,1.09,2.19,3.28,1.09,0,0,13.11,0,2.19,1.09,0,0,1.09,0,0,0,0,0,2.19,0,0
108-118,0,0.77,0,0,0,0,0,0.77,0.77,0.77,0.77,24.51,1.53,5.36,3.83,0,0,3.06,0,0,0,0,2.3,2.3,0,0.77
120,0,1.96,0,0,0,0,0,1.96,1.96,0,0,25.48,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0
