stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.96,0,0,0,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,73.56,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,2.63,0,0,0,0,39.43,0,0,0,13.14,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,22.03,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,1,0,0,0,0,0,0,2,0,7,0,0,1,0,0,0,0,1,3,0,0
 24-34,0,0,0.82,0,0,1.64,0,0.82,0.82,0,0,0,0,0,15.6,0,0,0,0,0,4.1,0,0,8.21,0,0
 36-46,0,0,0,0,0,4.03,0.81,2.42,0,0,0,0.81,0,0,24.17,0,0.81,0,0,0.81,1.61,0.81,0,4.83,0,0.81
 48-58,0,0,0,0.57,0,5.74,0,1.72,0,0,0,0,2.87,0.57,14.92,0,0,0,0,0,1.72,0,0,1.15,0,0
 60-70,0,0,0,0,0,7.85,0,0.98,0,0,0,0,0.98,0.98,14.72,0,0,0,0,0,2.94,0,0,0.98,0,0.98
 72-82,0,0,0,0,0,3.93,0,1.96,2.94,0,0.98,0,0.98,0,11.78,0,0.98,0,0,0,3.93,0,0,0.98,0.98,0
 84-94,0,0,0,0,0,3.19,0,0,2.12,0,0,0,1.06,0,4.25,1.06,0,0,0,0,2.12,0,0,0,0,0
 96-106,0,0,0,0,0,2.19,0,3.28,15.3,0,0,0,2.19,0,7.65,0,0,0,0,1.09,7.65,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,1.53,26.04,0,0,0,2.3,0,6.89,0,0,0,0,0,3.83,0,0,0,0,0.77
120,0,0,0,0,1.96,5.88,0,1.96,37.24,0,0,0,0,0,9.8,0,0,0,0,0,11.76,0,0,0,0,0
