stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0
 24-34,0,2.46,0,0,0.82,0,0,0,0,0,0,0,0,3.28,0,0.82,0,0,0,0.82,4.1,15.6,0.82,0,0.82,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,0,0.81,0,0,0,0,2.42,0,1.61,0,0,0.81,2.42,0,5.64,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,4.59,0,0,0,1.15,0,0,0,0,8.61,0,3.44,0,0,2.87,4.02,0,6.31,3.44,0,0,0,0.57,0,0,0,0,0
 60-70,0,0.98,0,0,7.85,0,0,0,7.85,0,0,0,0,27.48,0,4.91,0,0.98,0.98,7.85,0.98,2.94,6.87,0,0.98,0,1.96,0,0,0,4.91,0.98
 72-82,0,4.91,0.98,0.98,11.78,0,0.98,0,15.71,3.93,0,0.98,0.98,46.14,0.98,16.69,0.98,2.94,3.93,52.03,0,5.89,19.63,0,0.98,0.98,1.96,0.98,2.94,0,16.69,0.98
 84-94,0,1.06,2.12,0,6.37,0,2.12,0,4.25,3.19,1.06,0,0,90.27,2.12,20.18,0,1.06,5.31,25.49,0,11.68,19.12,0,5.31,0,1.06,2.12,1.06,1.06,28.68,0
 96-106,1.09,13.11,7.65,3.28,26.23,1.09,3.28,1.09,12.02,3.28,2.19,0,0,119.12,4.37,27.32,0,2.19,4.37,71.04,1.09,18.58,15.3,1.09,18.58,0,2.19,5.46,4.37,3.28,21.86,1.09
108-118,0,5.36,3.83,0,14.55,0.77,1.53,0,6.89,2.3,0.77,2.3,0,100.34,1.53,32.17,0,0,1.53,49.79,2.3,12.26,24.51,0.77,9.96,0,2.3,1.53,0.77,0.77,11.49,0.77
120,0,9.8,9.8,0,11.76,0,1.96,0,3.92,1.96,1.96,0,1.96,68.59,0,13.72,0,0,0,45.08,0,3.92,11.76,1.96,3.92,0,1.96,0,0,1.96,11.76,0
