stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,220.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,10.51,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,6.29,3.15,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,63,1,0,2,0,0,1,10,0,1,104,0,0,0,0,0
 24-34,0,0,1.64,0,3.28,0,0,1.64,0,0,0,3.28,0,0,0,0,0,0,0,6.57,0,0,1.64,402.22,1.64,1.64,0,0,2.46,0,6.57,0,1.64,231.48,0,0,2.46,0,0.82
 36-46,0,0,2.42,0,1.61,0.81,0,14.5,0,0,0,6.45,0,0,0,0,0,0,0,3.22,0,0,1.61,891.88,0.81,4.03,0.81,0,2.42,0.81,1.61,0.81,0,312.6,0,0,2.42,0,0
 48-58,0,0,1.72,0,3.44,0.57,0,37.87,0,1.15,0,18.94,0.57,0,0.57,1.15,0,0,0.57,5.74,0,0,1.72,872.76,1.15,2.3,0,0,1.15,0,1.15,0,0,236.41,0,0,1.15,0,2.87
 60-70,0,0,0,0,2.94,0.98,0,57.91,0.98,0.98,0,26.5,0,0.98,0,0.98,0,0,0,16.69,0,0.98,0,923.61,0,4.91,0,0,0,0,0,0,0,185.51,0,0,0.98,0.98,0
 72-82,0,0,1.96,0,5.89,1.96,0.98,53.99,0,0.98,0,24.54,0,0,0.98,0,0,0,0.98,13.74,1.96,0,0,581.14,0,0.98,0,0,0.98,0,7.85,0,0,71.66,1.96,0,0,0,3.93
 84-94,0,0,2.12,0,4.25,1.06,0,56.29,0,0,1.06,18.05,3.19,0,0,0,0,0,0,11.68,0,1.06,0,375.96,0,0,1.06,0,1.06,0,7.43,0,0,56.29,0,0,2.12,0,0
 96-106,0,0,4.37,0,8.74,1.09,0,41.53,0,1.09,1.09,9.84,1.09,0,2.19,2.19,1.09,2.19,0,9.84,0,0,0,318.02,0,3.28,0,0,1.09,0,2.19,0,0,22.95,0,1.09,1.09,1.09,0
108-118,0,0,0.77,0,3.06,2.3,0,26.04,0,0,0,16.85,2.3,0,0,0,0,0.77,0,3.06,0,0,0,430.47,0,0.77,0.77,0,0.77,0,7.66,0,0,11.49,0,0,3.06,0,0.77
120,0,0,0,0,11.76,3.92,0,25.48,0,0,1.96,13.72,0,0,0,1.96,0,0,0,3.92,0,0,0,603.61,0,15.68,1.96,0,1.96,0,7.84,0,0,11.76,0,0,1.96,0,0
