stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching.gland,mesenchyme,neural,otic,paraxial.mesoderm,periderm,pgc,pronephros,vasculature
  3-4,92.25,1713.13,0,0,0,0,0,0,0,0,52.71,0,0,0
  5-6,36.78,355.52,0,0,0,0,0,12.26,0,0,18.39,0,0,0
  7-9,7.89,7.89,7.89,0,2.63,2.63,0,55.2,0,18.4,2.63,2.63,0,0
 10-12,0,0,0,0,0,3.15,0,12.59,0,9.44,0,0,3.15,0
 14-21,0,0,0,1,1,0,3,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0.81,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,1.09,0,0,0
108-118,0,0,0,0,0,0,0.77,0,0,0,0.77,0,0,0
