stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.59,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,15.77,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,0,14,1,0,0,0,0,0,0,0,9,9,0,0,0,0,0,1,0,0,4,0,0,21,0,0,67,1,0,0,0,0,0,0
 24-34,0,0,0,4.1,0,0,4.93,0.82,1.64,0.82,0,0,44.33,2.46,0,4.1,0.82,0,4.93,9.85,0,4.1,53.36,0,0.82,17.24,0,0,311.1,3.28,10.67,0,0,1.64,0,0.82
 36-46,0,0,0,5.64,0,0,7.25,10.47,0,0.81,2.42,0,70.9,0.81,0,3.22,0.81,0,4.03,4.83,0,3.22,46.73,0.81,0,21.75,0,0,312.6,8.86,9.67,0,0,0,0,0
 48-58,0,0.57,0,8.61,0.57,0,5.16,2.3,0,2.3,0,0,71.15,0,0,4.02,0.57,0,4.59,1.72,0,0,18.36,0,0,6.31,0,0,103.86,0,5.16,0,0,0.57,0,1.15
 60-70,0,0,0,30.43,0,0,22.58,11.78,0,3.93,0.98,0,97.17,1.96,0,3.93,2.94,0.98,24.54,0.98,0.98,0,42.21,0,0,23.56,0,0,228.69,1.96,8.83,0,0.98,0,0,1.96
 72-82,0,0,0.98,37.3,1.96,0,15.71,0,0,1.96,0.98,0.98,106.02,3.93,0,10.8,0,0,15.71,0.98,0,0,16.69,0,0.98,20.61,0,0,22.58,0,0.98,0,0,0.98,0,0
 84-94,0,0,2.12,106.2,1.06,0,7.43,10.62,0,1.06,4.25,0,148.69,21.24,0,8.5,0,0,7.43,1.06,0,0,7.43,0,1.06,27.61,0,0,80.71,2.12,0,13.81,1.06,0,1.06,0
 96-106,0,0,0,116.93,2.19,0,6.56,8.74,1.09,3.28,15.3,1.09,186.88,32.79,0,13.11,1.09,0,15.3,6.56,1.09,0,32.79,0,2.19,40.44,0,0,276.49,0,1.09,4.37,0,1.09,0,0
108-118,0,0,0,103.41,0.77,0.77,9.19,21.45,0.77,3.06,13.02,0,161.62,29.11,0.77,8.43,0,0,15.32,7.66,0,0,9.96,0,0,41.36,0,0,165.45,1.53,1.53,3.06,0.77,1.53,0.77,0
120,0,0,0,47.03,0,0,1.96,15.68,0,0,1.96,1.96,207.74,9.8,0,3.92,0,0,1.96,3.92,0,0,9.8,0,0,19.6,0,1.96,129.35,1.96,0,0,0,3.92,0,1.96
