stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,513.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,306.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,13.14,0,5.26,0,0,0,47.32,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,226.07,5.26,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,31.47,0,34.62,0,6.29,0,28.32,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,368.2,12.59,0,0,110.14,0,0,3.15,0,9.44,3.15,0,0,0,0,0,0
 14-21,0,0,1,4,19,8,0,13,0,0,5,2,0,0,0,0,0,0,0,1,14,0,0,7,215,7,6,2,3,0,1,1,6,2,3,67,0,0,0,0,0
 24-34,0,0,2.46,1.64,9.03,0.82,0,10.67,0.82,0.82,0.82,0,0,1.64,0.82,0,0.82,0.82,0,2.46,23.8,0,0.82,14.78,731.38,0.82,11.49,7.39,0,0,3.28,0,0,0,0,111.64,0,0,4.93,0,0.82
 36-46,0,0,0,0,3.22,0,0,37.87,0.81,0.81,16.11,0,0,2.42,0,0,0.81,2.42,0,0.81,51.56,0.81,1.61,6.45,1683.04,1.61,11.28,1.61,0,0,0,0,0.81,0.81,0,267.48,0,0,4.83,0,0
 48-58,0,0,0,0,6.31,0.57,0,170.99,0.57,4.59,33.28,0,0,1.72,0.57,0,1.15,1.72,0,0.57,74.59,0,4.02,9.18,1688.13,1.15,5.16,4.59,0,0,2.3,0,0,0,0,266.82,0,0,4.02,0.57,0.57
 60-70,0,0,1.96,0,4.91,0,0,355.31,0.98,0.98,33.37,0.98,0,2.94,0.98,0,0.98,0,0.98,0,91.28,0,0.98,5.89,1760.85,0.98,4.91,1.96,0,0,0.98,0,0,0,0,155.08,0,1.96,1.96,0,0.98
 72-82,0,0,4.91,0,4.91,0.98,0,282.72,0.98,0.98,36.32,1.96,0,0.98,2.94,0.98,1.96,3.93,0,0,114.85,0,3.93,8.83,1020.93,0.98,3.93,5.89,0,1.96,3.93,0,0,0,0,55.95,0.98,5.89,4.91,0,3.93
 84-94,0,0,4.25,0,12.74,1.06,0,167.8,1.06,5.31,26.55,1.06,0,1.06,2.12,1.06,1.06,0,1.06,2.12,57.35,0,5.31,4.25,433.31,1.06,5.31,3.19,0,0,5.31,0,0,0,0,30.8,1.06,4.25,6.37,1.06,1.06
 96-106,1.09,0,0,0,5.46,0,0,79.78,1.09,3.28,19.67,5.46,0,0,1.09,1.09,1.09,1.09,0,0,9.84,1.09,4.37,3.28,280.86,0,3.28,7.65,0,0,4.37,0,0,0,0,10.93,2.19,2.19,6.56,1.09,0
108-118,0,0,0,0,6.89,1.53,0.77,49.79,0.77,2.3,12.26,0.77,0,0.77,3.83,0,1.53,0.77,1.53,0,14.55,0,0.77,3.06,337.02,0.77,1.53,3.83,0,0,1.53,0,0,0.77,0,4.6,2.3,0,3.06,0,0
120,0,0,0,0,3.92,1.96,1.96,39.2,0,0,13.72,0,0,0,1.96,0,1.96,0,0,0,9.8,0,1.96,0,297.89,0,0,1.96,0,0,0,0,0,0,0,9.8,1.96,0,0,0,0
