stage,blastomeres,epidermis,eye,glial,gut,hatching.gland,immune,liver,mesenchyme,neural,paraxial.mesoderm,presomitic.mesoderm,pronephros,somites,spinal.cord
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,36.8,5.26,0,0,0,0
 10-12,3.15,0,0,0,0,3.15,0,0,0,50.35,25.18,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,1,0,1,1,1,1
 24-34,0,0,0,0.82,0,0,0,0,0,1.64,0,0,0,0,2.46
 36-46,0,0,0,0,0,0,0,0,0.81,2.42,0,0,0,0,2.42
 48-58,0,0,0,0,0,0,0,0.57,0,1.72,0,0,0,0,1.72
 72-82,0,0,0.98,0,0,0,0.98,0,0.98,0,0,0,0,0,0.98
 96-106,0,0,0,0,1.09,0,2.19,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0
