stage,blastomeres,epidermis,eye,fin.mesenchyme,iridophores,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,spinal.cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,44.69,2.63,0,15.77,0,0
 10-12,0,0,0,0,0,0,0,59.79,0,0,18.88,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.64,0,0,0,0.82,0
 36-46,0,0.81,0,0,0,0,0,2.42,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,0,0,0,0
 60-70,0,0.98,0.98,0.98,0,0.98,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,0.98,0.98,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,0,2.12,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0,0,0,0
120,0,7.84,1.96,0,0,1.96,1.96,3.92,0,1.96,0,0,0
