stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,126,0,0,10,0,0,0,0,1,0,0,1,0,0,16,1,9,0,0,17,18,1,0,0,1,0,2,0,6,0,27,398,3,0,0,0,0,2
 24-34,0,0,0.82,163.35,0,0,53.36,81.26,0.82,0.82,1.64,1.64,0.82,0,0,0,2.46,22.98,3.28,53.36,1.64,0,55.82,91.94,0.82,2.46,1.64,0,0,12.31,0,0.82,2.46,24.63,377.59,13.13,0,0,2.46,0,3.28
 36-46,0,0,0.81,61.23,0,0,28.2,74.93,9.67,4.83,1.61,1.61,0,0,0,0,0.81,28.2,0.81,58.01,0.81,0,30.62,53.98,1.61,0,2.42,0,0,4.03,0,0,0,16.11,16.11,12.09,0,0,4.03,0,5.64
 48-58,0,0,0,71.73,0,0,48.2,40.74,6.31,2.3,2.87,2.87,0,1.15,0,0,1.15,43.04,2.87,52.79,0.57,0,20.66,59.68,1.15,0.57,1.15,0,0,3.44,0,0,1.15,3.44,0,5.74,0,0.57,1.72,0,2.87
 60-70,0,0,0,38.28,0.98,2.94,51.04,20.61,3.93,4.91,4.91,11.78,0,0.98,0,2.94,0.98,63.8,1.96,38.28,0,0,11.78,54.97,1.96,0,2.94,0,0,2.94,0,0.98,3.93,0,0,2.94,0,0,0.98,0,0.98
 72-82,0,0.98,0.98,59.88,3.93,68.72,65.77,11.78,5.89,8.83,15.71,89.33,0,1.96,1.96,0.98,1.96,183.57,0,88.35,0.98,3.93,20.61,102.09,0,0.98,0.98,0,0,8.83,0,0,4.91,1.96,0,6.87,0,0.98,0.98,0.98,5.89
 84-94,0,2.12,0,121.07,5.31,141.25,122.13,8.5,7.43,5.31,6.37,142.31,0,5.31,4.25,2.12,0,515.09,1.06,59.47,3.19,2.12,14.87,97.71,1.06,1.06,2.12,0,0,23.36,0,0,23.36,1.06,0,3.19,1.06,0,0,4.25,1.06
 96-106,0,3.28,0,197.81,12.02,276.49,145.35,18.58,14.21,12.02,32.79,263.38,3.28,6.56,2.19,0,8.74,798.87,0,121.31,3.28,1.09,27.32,250.26,2.19,7.65,3.28,0,1.09,46.99,1.09,0,20.76,5.46,0,4.37,4.37,4.37,7.65,3.28,7.65
108-118,0,0.77,1.53,290.3,9.96,549.2,154.72,29.11,22.98,9.19,28.34,215.24,1.53,6.89,2.3,9.96,3.83,1500.52,3.06,145.53,1.53,0.77,45.19,205.28,4.6,1.53,9.19,0,1.53,30.64,0,0,26.04,8.43,0,6.13,2.3,0,7.66,4.6,11.49
120,0,0,1.96,194.02,3.92,221.46,68.59,33.32,15.68,5.88,11.76,103.87,0,3.92,1.96,5.88,0,731,3.92,101.91,5.88,3.92,17.64,125.43,5.88,0,3.92,0,1.96,27.44,0,0,25.48,0,0,0,0,1.96,0,0,11.76
