stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0
 24-34,0,0,0,0,0,0,3.28,0,0,0,2.46,0,0,0,0,0,0,0,0,0.82,0,0,171.56,0,3.28,0,0,0,0,0,4.93,0.82,55,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,7.25,3.22,0,0,12.09,0,0.81,0,0,0,1.61,0,0,0,0,0.81,563.97,0,4.03,0,0,0,0,0,3.22,0,154.69,0,0,0.81,0,0
 48-58,0,0,0,0.57,0,0,53.36,9.18,0,0,29.26,0,0,0,0,0,0.57,0,0,8.03,0,0,683.98,0,2.87,0.57,0,0,1.72,0,8.61,0,154.35,0,0,0.57,0,0.57
 60-70,0,0,0,0.98,0,0,166.86,3.93,0.98,0,36.32,0.98,0.98,0.98,0,0,0,0,0,11.78,0.98,1.96,876.5,0,0.98,0.98,0,0,0,2.94,7.85,0,129.56,0,0,0,0,1.96
 72-82,0,0.98,0,5.89,0,0,261.12,1.96,0.98,1.96,64.79,0.98,0.98,0,0,0,0.98,0,0.98,17.67,0,2.94,868.77,0,3.93,0.98,0,0.98,0.98,0,4.91,0,103.07,0,0,1.96,0.98,0
 84-94,0,0,0,8.5,0,1.06,161.43,5.31,1.06,1.06,36.11,0,0,1.06,0,0,1.06,0,0,14.87,1.06,2.12,453.49,0,4.25,2.12,0,0,2.12,0,2.12,0,60.54,1.06,2.12,0,0,1.06
 96-106,0,0,0,8.74,4.37,0,147.53,17.49,1.09,1.09,41.53,0,0,2.19,1.09,0,2.19,1.09,0,14.21,0,1.09,424.02,0,7.65,5.46,0,1.09,1.09,1.09,7.65,0,22.95,0,1.09,0,0,3.28
108-118,0,0,0,3.06,0.77,0,108.77,8.43,0,0,46.72,0.77,0.77,0.77,0,0.77,0.77,2.3,0.77,11.49,0,6.13,474.9,0,5.36,3.06,0.77,1.53,0.77,0.77,13.79,0,26.04,0.77,0.77,0.77,0,0
120,0,0,0,11.76,0,0,90.15,5.88,0,0,35.28,0,0,0,0,1.96,0,0,0,11.76,0,5.88,411.55,0,5.88,1.96,0,1.96,1.96,3.92,1.96,0,23.52,0,0,0,0,0
