stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,9,0,0,2,0,0,0,1,1,0,1,0,2,0,0,0,0,7,0,0,2,24,6,1,1,0,7,1,0,0,11,0,0,3,0,1
 24-34,0,0,0,0.82,0,0,6.57,0,1.64,0,1.64,1.64,0,2.46,0,4.93,0,0,0,0.82,6.57,4.93,0,4.93,61.56,3.28,3.28,2.46,0,39.4,0,1.64,2.46,15.6,0,0,5.75,0,0.82
 36-46,0,0,0,1.61,0,0,13.7,0.81,0.81,1.61,4.83,0.81,0,0,0,0.81,0.81,0,0,0.81,12.09,4.03,0,4.03,70.9,4.03,0.81,1.61,0,36.26,0,0.81,0,12.89,0,0,1.61,0,0.81
 48-58,0,0,0,1.15,0.57,0,19.51,0,0,0,8.61,0,0,0,0,2.3,0,0,0,0.57,23.53,1.72,0,3.44,75.17,3.44,2.3,1.72,0,22.95,0,0,0,10.33,0,0,0.57,0,0
 60-70,0,0.98,0,2.94,0,0,22.58,0,0,0,12.76,0.98,0,0,1.96,0,0.98,0,0,0,33.37,0,0,2.94,73.61,0.98,1.96,0.98,0,18.65,0,0,0,14.72,0,0,0,0,0.98
 72-82,0,1.96,0,7.85,2.94,0,26.5,0,0,0,15.71,2.94,0,0,0,2.94,0,1.96,0,0.98,59.88,4.91,0,1.96,49.08,1.96,7.85,4.91,0,15.71,0,0,0,2.94,2.94,0.98,3.93,0.98,0.98
 84-94,0,0,0,8.5,1.06,0,10.62,0,0,0,13.81,5.31,1.06,1.06,2.12,4.25,1.06,0,0,1.06,27.61,4.25,0,1.06,38.23,1.06,2.12,0,0,44.61,0,3.19,0,2.12,2.12,0,2.12,0,0
 96-106,0,1.09,0,13.11,0,0,8.74,0,0,1.09,10.93,10.93,0,0,1.09,4.37,0,5.46,0,0,18.58,6.56,0,1.09,26.23,1.09,3.28,3.28,0,26.23,0,0,0,1.09,2.19,0,2.19,2.19,0
108-118,0,1.53,0,11.49,0,0.77,9.19,0.77,0.77,1.53,6.13,13.79,0,0,3.06,3.06,0,3.06,2.3,0.77,12.26,3.06,1.53,2.3,26.81,0.77,0,1.53,0,16.85,0,0.77,0,0.77,2.3,0.77,3.06,0,0
120,0,0,0,9.8,1.96,0,1.96,0,1.96,0,5.88,7.84,0,0,3.92,3.92,0,0,0,1.96,13.72,0,0,1.96,23.52,0,0,3.92,0,11.76,0,1.96,0,0,3.92,0,0,0,0
