stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,1,0,0,1,0,2,6,0,0,0,0,1,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,5.75,0,0.82,0,1.64,0,0,0,0,0.82
 36-46,0,0,0,1.61,0,0,0.81,0,0,0,0,0,0,6.45,0.81,0,0,0,0,1.61,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,1.15,0,0,4.02,0,0,0,1.15,0,1.72,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0.98,0,0,0,0.98,3.93,0,0,0,0,0,0,0,0,1.96
 72-82,0,0,0.98,2.94,0,0,0.98,0,0,0,0.98,0,0.98,2.94,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,2.12,1.06,0,0,0,0,0,0,0,1.06,0,0,0,1.06,0
 96-106,0,0,0,0,0,0,0,0,3.28,0,3.28,0,0,1.09,0,0,0,2.19,0,1.09,0,0,0
108-118,0,0,0,0,0.77,0,0,0,1.53,0.77,1.53,0.77,3.06,3.83,0,0,0.77,3.06,0,0,0.77,0,0
120,0,0,0,1.96,0,0,1.96,3.92,0,0,0,0,0,7.84,0,0,0,0,0,0,0,0,0
