stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,13.14,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.32,2.63,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,3.15,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.7,0,0,0,40.91,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,4,1,0,4,0,0,1,1,0,0,0,0,0,0,5,0,0,6,49,3,0,0,0,0,0,15,0,1,11,17,0,0,0,0,0
 24-34,0,0,0,0,5.75,0,0,5.75,0.82,0,0.82,0,0,0.82,0,0,0,0,8.21,0,0,6.57,97.68,0.82,1.64,1.64,0,0,3.28,0,1.64,0,0.82,26.27,0,0,3.28,0,0
 36-46,0,0,0,0,3.22,0,0,26.59,0.81,0,12.89,0,0,0,0,0,0,0,13.7,0,0,4.83,118.43,0,2.42,4.03,0,0,0,0,0.81,0,0,20.95,0,0,2.42,0,0
 48-58,0,0,0,0,2.3,0,0,32.13,0,2.3,13.2,0,0,0,0.57,0,0.57,0,19.51,0,0,1.15,75.74,0.57,0.57,0.57,0,0,0.57,0,0,0,0,13.77,0,0,1.15,0,0.57
 60-70,0,0,0,0,2.94,0,0,59.87,0.98,0.98,13.74,0,0,0,0,0,1.96,0,35.33,0,0,3.93,79.5,0,0.98,0.98,0,0.98,1.96,0,0,0,0,13.74,0,0,0,0,0.98
 72-82,0,0,1.96,0,1.96,0.98,0,41.23,0,0,30.43,0,0,2.94,0,0,0,0,36.32,0.98,0,4.91,61.84,0.98,1.96,1.96,0,0.98,4.91,0,0,0,0,4.91,0.98,0.98,2.94,0.98,0
 84-94,0,0,0,0,8.5,2.12,0,52.04,2.12,1.06,18.05,0,0,6.37,1.06,0,0,0,44.61,0,0,3.19,42.48,0,1.06,4.25,0,1.06,5.31,0,0,0,0,7.43,1.06,3.19,8.5,1.06,1.06
 96-106,0,0,1.09,0,5.46,3.28,0,43.71,0,1.09,21.86,0,0,6.56,2.19,1.09,2.19,0,49.18,0,1.09,2.19,48.09,0,1.09,5.46,0,1.09,7.65,0,1.09,0,0,1.09,1.09,0,6.56,0,1.09
108-118,0,0,2.3,0,6.89,1.53,0.77,33.7,3.06,3.06,11.49,3.06,0.77,3.06,0.77,2.3,0.77,0.77,29.87,0,1.53,4.6,48.26,0,3.06,1.53,0,1.53,5.36,0,0,0,0,1.53,0.77,0,5.36,1.53,0.77
120,0,0,0,0,7.84,0,0,19.6,0,1.96,13.72,0,0,1.96,1.96,0,0,0,23.52,0,0,1.96,43.12,0,1.96,3.92,0,1.96,1.96,0,0,0,0,1.96,0,0,1.96,0,0
