stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,2,0,0
 24-34,0,0.82,0,0.82,0,0.82,0,0,0,0,0.82,0,1.64,27.09,0.82,0,0.82,0,0,0,4.1,0,0
 36-46,0,0,0,1.61,0,8.06,0,0,0,0,3.22,0,0,39.48,0,0,0,0,0,0,12.89,0,0
 48-58,0,0,0,1.15,0.57,8.61,0,0,0,0,4.02,0,0.57,13.2,0,0,1.15,0,0,0,8.61,0,0
 60-70,0,0,0,1.96,0,11.78,0,0.98,0,0,3.93,0,0.98,7.85,0,0,0,0,0,0,5.89,0,0
 72-82,0,0,0,1.96,0.98,11.78,0,0,0,0,11.78,0,0.98,7.85,0,0,0.98,0,0,0,0,0.98,0
 84-94,0,1.06,1.06,1.06,0,9.56,0,0,0,0,4.25,0,0,3.19,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,2.19,0,0,5.46,1.09,0,0,1.09,4.37,1.09,2.19,3.28,0,1.09,0,0,1.09,0,0,0,2.19
108-118,0,0,0.77,1.53,0,6.13,0,0,0,0,1.53,0,0.77,5.36,0.77,0.77,0.77,0,0,0,0,0.77,0
120,0,0,0,0,0,3.92,0,1.96,1.96,0,1.96,0,0,5.88,0,0,0,0,0,0,0,0,0
