stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29,0,0,0,0,2,0,17,7,0,0,0,0,0
 24-34,0,0,0.82,0,3.28,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,1.64,251.18,0.82,0,0,0,0,0,20.52,55.82,0,0,0,0,0
 36-46,0,0,1.61,0,6.45,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,650.18,2.42,0,0,1.61,0,0,1.61,102.32,0,0,0,0,0
 48-58,0,0,1.15,0,30.99,0,0,0,7.46,0,0.57,0,0,0,0,0.57,0,10.33,0,0.57,908.33,1.72,1.15,0,0.57,0,0,0,136.57,0,0,0.57,0,0
 60-70,0,0,1.96,1.96,72.63,0,0,0.98,15.7,0,0.98,0.98,0,0.98,0,0,0,21.59,0.98,0,1572.4,0.98,0.98,0,0.98,0,0,0,234.58,0,0,0.98,0,0
 72-82,0,1.96,3.93,0.98,186.52,0,0,0.98,30.43,0,0,0.98,0,1.96,0,0,0,81.48,0,0.98,1528.45,0,0.98,0,0.98,0,0,0,162.96,0.98,1.96,0.98,0,0.98
 84-94,0,0,7.43,0,120.01,1.06,1.06,0,25.49,2.12,3.19,0,1.06,1.06,1.06,1.06,1.06,80.71,0,0,808.21,1.06,2.12,0,3.19,0,0,0,97.71,0,2.12,2.12,1.06,0
 96-106,0,0,7.65,2.19,88.52,0,0,2.19,19.67,0,0,0,0,3.28,0,0,1.09,32.79,0,0,656.8,0,2.19,0,2.19,0,0,0,33.88,0,1.09,1.09,0,0
108-118,0,0,11.49,0,58.21,0,0,0.77,20.68,0.77,0,0,0.77,1.53,0.77,0,0,26.04,0,0,782.81,0,4.6,0.77,1.53,0,0.77,0,37.53,0,0,0,0.77,0
120,0,0,11.76,1.96,47.03,0,1.96,0,9.8,3.92,0,0,0,1.96,0,0,0,23.52,0,3.92,864.27,0,3.92,0,1.96,0,0,0,27.44,0,0,1.96,0,0
