stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,26.36,474.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0
  5-6,24.52,453.59,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,6.13,0,0,24.52,0,6.13,0,0,0,0,0,0,0
  7-9,0,2.63,10.51,0,0,0,5.26,0,0,0,0,0,13.14,0,0,0,0,0,0,0,89.38,2.63,0,28.92,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,6.29,0,0,0,0,0,15.73,0,0,0,0,0,0,0,34.62,0,0,25.18,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,0,3,0,0,0,1,0,1,0,0,0,1,0,0,0,16,0,0,1,0,0,6,0,4,3,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0,0,0,1.64,0,0,0,8.21,0.82,0,0,0,1.64,0,0,0.82,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,3.22,0,0,0,0,0.81,0,1.61,0,1.61,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,1.15,0,0,0,4.59,0,0,0,0,0,0,1.15,0,2.3,0,1.15,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,0.98,0.98,0,1.96,0,0.98,0.98,0,0.98,0,3.93,0,0,0,0.98,0.98,0,2.94,0,1.96,0,0,0
 72-82,0,0,0,0,0,0,1.96,0,0,0,3.93,0,0,0,0,5.89,4.91,0,0,1.96,5.89,0,0.98,0,0,0,0,6.87,0,1.96,0,0,0
 84-94,0,0,0,0,1.06,0,4.25,0,1.06,0,2.12,3.19,0,2.12,0,11.68,2.12,1.06,0,0,7.43,0,0,0,0,10.62,0,18.05,0,2.12,2.12,2.12,1.06
 96-106,0,0,0,1.09,0,0,9.84,0,1.09,0,4.37,2.19,0,2.19,0,18.58,5.46,0,1.09,0,13.11,1.09,0,0,0,6.56,0,10.93,0,1.09,0,1.09,0
108-118,0,0,0,2.3,0.77,0.77,7.66,0.77,0.77,0,7.66,8.43,0,0.77,2.3,58.98,6.89,0,0,1.53,13.79,0.77,0,0,0,7.66,0,16.85,0,0.77,0.77,0.77,0
120,0,0,0,3.92,1.96,0,5.88,0,0,0,3.92,7.84,0,3.92,1.96,50.95,1.96,0,0,0,7.84,1.96,0,0,0,7.84,0,15.68,0,0,1.96,5.88,0
