stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,1212.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0
  5-6,6.13,318.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,9,0,0,2,0,0,0,1,0,0,0,6,0,0,1,0,0,0,7,0,0,0,0,0,16,2,0,0,0,0,0,0
 24-34,0,0,0.82,0,27.91,0,0,0.82,0,0,0,1.64,0,0,0,13.13,13.95,3.28,0,1.64,0,0,15.6,0.82,3.28,0,0,1.64,5.75,0.82,0.82,0,0,0,0,0
 36-46,0,0,0,0,26.59,0,0,0,1.61,0,1.61,0.81,0,0,0,7.25,11.28,4.03,0.81,1.61,0,0,55.59,2.42,7.25,0,0,4.03,1.61,0,0,0,0,3.22,0,0
 48-58,0,0,0,0,17.79,0,0,1.72,2.3,1.15,7.46,2.87,0.57,0,0,1.15,17.79,1.72,3.44,0,0,1.15,31.56,0.57,3.44,4.02,0,2.87,2.3,0,3.44,0,0,6.31,0,0
 60-70,0,0,0.98,0,24.54,0,0,5.89,3.93,0.98,9.82,5.89,2.94,0,0,0,19.63,0,8.83,0,0.98,0,17.67,0,0.98,3.93,0,3.93,0.98,0,1.96,1.96,0,2.94,0,0
 72-82,0,0,1.96,0,50.06,0,0.98,5.89,8.83,0,8.83,31.41,0,0,0,4.91,29.45,0,15.71,0.98,0,1.96,23.56,0,1.96,11.78,0,1.96,0.98,0,0,0,0,18.65,0,0
 84-94,0,0,0,2.12,134.88,1.06,1.06,1.06,21.24,0,5.31,87.09,0,1.06,1.06,2.12,66.91,1.06,4.25,0,0,2.12,30.8,0,12.74,10.62,0,5.31,1.06,0,1.06,6.37,1.06,20.18,0,0
 96-106,0,0,0,2.19,121.31,0,1.09,0,9.84,1.09,4.37,121.31,0,0,1.09,9.84,81.96,3.28,15.3,2.19,0,4.37,21.86,0,12.02,25.14,0,9.84,0,0,2.19,25.14,0,17.49,2.19,1.09
108-118,0,0,1.53,2.3,117.96,0.77,0,0,25.28,0,1.53,136.34,0.77,0.77,1.53,6.89,58.98,4.6,13.79,2.3,0,4.6,20.68,0,6.13,9.19,0,3.83,6.89,0,0.77,25.28,0,14.55,0,0.77
120,0,0,0,0,125.43,0,0,0,27.44,0,5.88,70.55,0,0,3.92,3.92,35.28,3.92,11.76,5.88,0,0,7.84,0,9.8,13.72,0,1.96,5.88,0,0,7.84,0,21.56,0,0
