stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.38,0,0,0,78.67,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,111,2,0,1,0,6,0,45,0,0,1,0,0,0,0,0,1,6,1,0,2,290,37,0,0,5,0,2,2,0,0,2,607,0,0,3,0,0
 24-34,0,0,2.46,320.13,0,0,34.48,0,20.52,0,119.02,1.64,1.64,4.1,0.82,0.82,0,7.39,0.82,1.64,108.35,3.28,0.82,37.76,1062.19,164.99,4.93,5.75,0,0,129.7,0,0,0,2.46,749.44,0,0,4.93,0,1.64
 36-46,0,0,3.22,172.41,0,0,45.12,0,9.67,0,217.53,0.81,0,4.03,0,1.61,0,5.64,1.61,1.61,198.19,2.42,0.81,25.78,1069.93,199,1.61,11.28,0,0.81,103.93,0,0.81,0,0,618.75,0,2.42,3.22,0.81,0
 48-58,0.57,0,0,130.25,1.15,0,70.58,0,7.46,1.72,359.78,0.57,0,0.57,0.57,2.3,0,3.44,0,0,366.09,2.3,2.87,17.79,482,137.71,0.57,33.85,0,0,48.77,0,0.57,0,0,386.74,0,4.02,3.44,0.57,0
 60-70,0.98,0,0,64.78,0.98,0,63.8,0,7.85,0.98,343.53,0.98,0,0,3.93,2.94,0,0.98,0.98,0,673.32,0.98,10.8,21.59,164.9,59.87,0,35.33,0,11.78,32.39,0,0,0,0,98.15,3.93,8.83,0.98,0.98,0.98
 72-82,0,0,0,64.79,4.91,0,121.73,1.96,3.93,3.93,487.89,6.87,0,0,4.91,9.82,0.98,0.98,2.94,0,950.25,2.94,26.5,25.52,186.52,55.95,2.94,73.62,0,12.76,9.82,0,0,0,0,34.36,6.87,25.52,11.78,9.82,1.96
 84-94,1.06,0,0,84.96,4.25,1.06,126.38,0,22.3,2.12,353.66,11.68,0,1.06,2.12,21.24,2.12,4.25,2.12,1.06,816.71,0,13.81,12.74,108.33,78.59,1.06,66.91,0,11.68,33.99,0,1.06,0,0,48.85,9.56,15.93,6.37,9.56,2.12
 96-106,0,0,0,83.06,5.46,0,114.75,1.09,20.76,5.46,331.13,17.49,0,0,5.46,16.39,2.19,8.74,7.65,1.09,590.14,0,14.21,22.95,115.84,65.57,1.09,90.71,0,16.39,16.39,0,0,1.09,0,19.67,15.3,34.97,10.93,4.37,1.09
108-118,0.77,0,0,26.81,0.77,0.77,69.7,0.77,35.23,4.6,280.34,21.45,0,0,5.36,14.55,0.77,3.83,4.6,0,517.03,0,10.72,12.26,108.77,68.94,0.77,81.96,0,20.68,1.53,0,0,0,0,17.62,16.85,20.68,7.66,4.6,1.53
120,1.96,0,0,35.28,1.96,0,68.59,0,17.64,3.92,270.45,1.96,0,0,7.84,9.8,0,1.96,9.8,0,413.51,0,7.84,7.84,107.79,64.67,1.96,45.08,0,5.88,7.84,0,0,0,0,11.76,0,27.44,5.88,1.96,0
