stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,269.7,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,5.26,0,10.51,0,0,31.54,0,0,0,0,0,63.09,0,0,0,0,0,0,0,0,0,0,657.18,18.4,0,0,99.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,25.18,0,18.88,0,0,40.91,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,1431.87,44.06,0,0,160.5,0,0,3.15,0,6.29,0,0,18.88,0,0,0,0
 14-21,0,0,0,35,19,1,9,0,0,0,138,1,0,0,1,0,0,0,0,0,11,0,12,687,23,0,1,17,0,1,0,16,0,1,15,790,0,1,0,0
 24-34,0,0,0.82,6.57,1.64,0.82,17.24,0.82,0,0.82,105.89,0,0,0,0,0,0,0,3.28,0,8.21,0,4.1,1054.8,6.57,0.82,0.82,0,0,0.82,0,0,0,0,4.93,775.71,0,4.1,0,1.64
 36-46,0,0,0,0,2.42,0,21.75,0.81,0.81,1.61,58.81,0.81,0,0,2.42,0,0.81,0,0,0,16.11,0,7.25,928.94,2.42,1.61,0,0,0,1.61,0,0,0,0,0,874.15,0,3.22,0,2.42
 48-58,0,0,0,0,4.59,1.15,67.71,0,0,0.57,111.89,0,0,0.57,0,1.72,0,0.57,1.15,1.15,34.43,1.15,8.61,661.6,1.15,0.57,0,0,0,1.72,0,0,0,0,0,678.24,0,0,0,6.31
 60-70,0,0,0,0,2.94,1.96,41.22,0.98,0,1.96,91.28,0,0,0,0,0,0,0,3.93,0,22.58,2.94,0.98,353.35,0,0,0,0,0,0,0,0,0,0,0,250.29,0.98,0,0,0.98
 72-82,0,0,0,0,3.93,0.98,34.36,0,0,2.94,125.65,0.98,0,0,0,0,0,0,0.98,0,42.21,1.96,3.93,267.01,0.98,0,0.98,0,0,0.98,0,0,0,0,0,224.8,1.96,1.96,7.85,1.96
 84-94,0,0,0,1.06,3.19,3.19,41.42,0,1.06,0,76.47,1.06,0,0,1.06,1.06,0,0,5.31,0,22.3,1.06,0,121.07,1.06,0,1.06,0,1.06,3.19,0,0,2.12,0,0,126.38,3.19,0,0,0
 96-106,0,0,0,0,6.56,1.09,22.95,0,0,1.09,93.98,1.09,0,1.09,1.09,1.09,0,1.09,0,0,25.14,1.09,3.28,80.87,1.09,1.09,1.09,0,0,1.09,0,0,0,0,0,85.24,4.37,1.09,5.46,1.09
108-118,0,0,0,0,4.6,1.53,14.55,0,0,0,77.36,1.53,0,0.77,0,0,0.77,0.77,4.6,0,13.02,0,2.3,113.36,0,0,0,0,1.53,0.77,0,0,0.77,0,0,66.64,3.06,0.77,3.83,3.83
120,0,0,0,0,7.84,0,17.64,0,0,1.96,62.71,0,0,0,0,0,0,0,1.96,0,13.72,1.96,0,125.43,1.96,0,1.96,0,1.96,0,0,0,0,1.96,0,56.83,0,0,0,0
