stage,blastomeres,endoderm,erythrocytes,eye,glial,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,spinal.cord,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0
 14-21,0,1,0,3,5,0,4,0,2,16,0,0,0,0,0,16,20,0,0
 24-34,0,0.82,0.82,0.82,4.93,0,5.75,0,1.64,27.09,0,0,0.82,0,0,0,9.03,0.82,0
 36-46,0,0,0,3.22,0,0,1.61,0,0.81,11.28,0,0,0,0,0,0.81,1.61,0,0
 48-58,0,0,0,3.44,1.72,0,3.44,0,0.57,3.44,0,0,0,0,0,0,3.44,0,0
 60-70,0,0,0.98,0.98,0.98,0,0.98,0,0.98,5.89,0,0.98,0.98,0,0,0,0.98,0,0
 72-82,0,0,0,1.96,0.98,0,0,0.98,0,3.93,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,3.19,1.06,0,2.12,0,0,3.19,0,0,0,0,0,0,2.12,0,0
 96-106,0,0,0,1.09,0,1.09,2.19,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,2.3,3.06,0,1.53,0,1.53,2.3,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,7.84,0,0,0,0,0,0,1.96,0,0
