stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,7.89,0,0,7.89,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,76.23,10.51,0,26.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,6.29,0,6.29,28.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.17,9.44,0,37.76,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,2,3,0,0,1,0,0,0,0,0,0,0,1,4,0,0,2,35,1,0,1,0,6,0,0,3,12,0,0,1,0,0
 24-34,0,0,0,1.64,0,6.57,0,0,0.82,0,0,0,0,0.82,0.82,0,0.82,4.1,0,0,4.1,43.51,0.82,0,0,0,0,0.82,0.82,1.64,16.42,0,0,3.28,0,0
 36-46,0,0,0,0.81,0,12.89,0,0,1.61,0,0,0,0.81,0,0,0,0.81,6.45,0,0,0,32.23,0,0,0,0.81,0,0,0,0,13.7,0,0,1.61,0,0
 48-58,0,0,0,0,0,17.79,0,0,4.59,0,0,0,0,0,0,0,1.15,6.31,0,0,2.3,20.66,0,0,0,0,0,0,0,0,8.03,0,0.57,0.57,0,0
 60-70,0,0,0,0.98,0,44.17,0.98,0,8.83,0,0,0.98,0,0,0,0,0,8.83,0,0,0.98,26.5,0,0.98,0,0,0,0,0,0,2.94,0,0,0,0.98,0.98
 72-82,0,0,0,0.98,0,24.54,0,0,5.89,0.98,0,0.98,0.98,0,0,0,0,10.8,0,1.96,0.98,19.63,0,1.96,0,0,0,0,0,0,1.96,0,0,2.94,0.98,0
 84-94,0,0,0,0,0,36.11,0,0,8.5,0,0,0,0,0,0,0,1.06,16.99,0,1.06,2.12,19.12,0,0,0,1.06,0,0,0,0,2.12,0,2.12,2.12,0,0
 96-106,0,0,0,0,0,19.67,1.09,0,7.65,0,0,1.09,3.28,1.09,0,1.09,1.09,12.02,0,3.28,2.19,20.76,0,1.09,0,1.09,0,0,0,0,0,0,1.09,3.28,1.09,0
108-118,0,0,0,0,0.77,13.79,0.77,0.77,1.53,0.77,0,0,3.06,0,0.77,0,0.77,4.6,0.77,0.77,0.77,15.32,0,0,0,1.53,0,0,0,0,0,0.77,0,0.77,0,0
120,0,0,0,1.96,0,7.84,0,0,3.92,0,0,0,1.96,0,0,0,0,1.96,0,1.96,0,19.6,1.96,1.96,0,1.96,0,0,0,0,0,0,0,0,1.96,0
