stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,10.51,0,0,0,0,2.63,0,0,0,0,0,0,0,0,68.35,0,0,0,31.54,0,2.63,0,0,0,0,0,0,0
 10-12,0,6.29,6.29,0,3.15,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,91.26,0,0,0,53.5,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,12,2,3,0,0,8,1,0,0,0,0,1,0,3,0,2,109,0,2,0,3,0,0,4,2,10,47,0,0,0
 24-34,0,0,0,1.64,0,29.55,0,0,1.64,0.82,0,0,0,0,0.82,0.82,17.24,0,6.57,243.79,1.64,2.46,1.64,0,2.46,0,0,0,0.82,47.61,1.64,0,0
 36-46,0,0,0,0.81,0.81,53.17,1.61,0,5.64,0,0,0,1.61,0,0,0,9.67,0.81,1.61,146.63,0,2.42,0,0,0.81,0,0,0,0,35.45,0.81,0,0
 48-58,0,0,0,1.15,0,70.58,1.15,0,8.03,0,0,0,0,0,0,0,10.33,1.15,3.44,59.68,0,1.15,0,0,0,0,0,0,0,12.62,0.57,0,0.57
 60-70,0,0,0,0.98,0,48.09,0.98,0,9.82,0.98,0,0,0,0.98,0,0,4.91,0,0,44.17,0.98,4.91,0.98,0,0.98,0,0,0.98,0,3.93,0,0,0
 72-82,0,0,0,1.96,1.96,22.58,0,0,9.82,0.98,0,0.98,0,0,0.98,0,7.85,0,1.96,27.49,0,2.94,0,0,0,0,0,0,0,2.94,0,0.98,0
 84-94,0,0,0,2.12,0,21.24,0,0,6.37,0,0,0,0,1.06,0,0,6.37,2.12,3.19,29.74,0,2.12,0,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,2.19,0,9.84,0,0,3.28,1.09,0,0,0,0,0,0,5.46,0,0,17.49,0,2.19,2.19,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0.77,0.77,13.02,0,1.53,5.36,0.77,0,0,0,0,0.77,0,2.3,0,1.53,25.28,0,1.53,0,0,2.3,0,0,0.77,0,0,0.77,0,0
120,0,0,0,5.88,1.96,9.8,0,1.96,9.8,0,0,0,0,0,0,0,5.88,1.96,0,13.72,0,0,0,0,0,0,0,0,0,0,0,0,0
