stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,63.09,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,9.44,0,0,34.62,0,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,2,8,0,0,0,0,0,0,5,0,1,4,6,0,1,0,0
 24-34,0,0,0,2.46,0,0,4.1,0,0,0.82,0,0,0.82,0,0.82,0,0,0.82,0.82,1.64,0,0,0.82,23.8,0,1.64,1.64,0,0,1.64,0,0,0,0.82,6.57,0,0,0,0
 36-46,0,0,0,2.42,0,0,4.03,0,0,4.83,0,0,0,0,0,0,0,0,1.61,2.42,0.81,0.81,2.42,29.81,0,0.81,0,0,0,1.61,0,0,0,0,7.25,0,0.81,0,0.81
 48-58,0,0,0,1.72,0,0,12.05,0,0,6.31,0,0,0,0.57,0,0,0.57,0,0.57,10.33,0,0,1.15,20.66,0,0.57,0,0,0,0.57,0,0,0,0,5.74,0,1.15,0,1.72
 60-70,0,0,0,1.96,0,0,20.61,0.98,0.98,9.82,0,0,0,0,0.98,0.98,0,0,0,16.69,0.98,0.98,1.96,24.54,0,0.98,1.96,0,0,3.93,0,0,0,0,5.89,0,1.96,0,0.98
 72-82,0,0,0,2.94,0,0,25.52,0,4.91,22.58,0,0,0.98,2.94,0.98,0,2.94,0,0,24.54,0.98,2.94,0.98,22.58,0,1.96,1.96,0,0.98,1.96,0,0.98,0,0,5.89,0,0,0,0.98
 84-94,0,1.06,0,0,1.06,0,19.12,3.19,2.12,16.99,3.19,0,0,0,2.12,2.12,1.06,0,2.12,16.99,1.06,0,3.19,15.93,0,1.06,1.06,0,0,4.25,0,0,0,0,8.5,0,1.06,0,1.06
 96-106,0,0,0,2.19,2.19,0,19.67,0,1.09,16.39,0,0,0,0,0,1.09,2.19,2.19,0,22.95,0,1.09,1.09,18.58,0,4.37,1.09,0,1.09,9.84,0,0,0,0,3.28,0,5.46,0,2.19
108-118,0,0,0,6.89,2.3,0.77,15.32,1.53,0.77,8.43,0.77,0,0,5.36,0,0.77,0,1.53,0,10.72,0.77,0.77,1.53,13.79,0,0.77,3.83,0,0,4.6,0,0,0,0,2.3,0.77,3.06,0,1.53
120,0,0,0,7.84,0,0,9.8,0,0,5.88,1.96,0,0,1.96,0,1.96,0,0,0,9.8,0,1.96,0,23.52,0,0,0,0,0,5.88,0,0,0,0,1.96,0,1.96,1.96,0
