stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,gut,hatching_gland,immune,ionocyte,iridophores,liver,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,36.78,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,23.66,0,0,5.26,0,0,0,0,0,0,0
 10-12,31.47,0,6.29,0,9.44,0,0,0,0,3.15,0,0,0,0,0,94.41,3.15,0,31.47,0,248.61,0,0,0,0,0
 14-21,0,0,2,0,5,0,0,0,0,0,0,0,0,0,4,15,0,0,0,1,123,1,0,0,0,0
 24-34,0,0.82,4.1,0.82,0.82,0,0,0,0.82,0,0,0,0,1.64,2.46,5.75,0,0,0,0.82,68.13,0,1.64,0.82,0,0
 36-46,0,0,0,0.81,0,0,0.81,0,2.42,0,0,0,0,0,0.81,1.61,0,0.81,0,0,41.09,0,0.81,0,0,0
 48-58,0,0,0.57,0,0,0,0.57,0,1.72,0,0,0.57,0,0,0,2.87,0,0,0,0.57,25.82,0,0,0,0,0
 60-70,0,0.98,0,0,0,0,0.98,0,3.93,0,0,0,0.98,0.98,0,5.89,0.98,0.98,0,0,30.43,0,0.98,0,0,0
 72-82,0,0.98,0,0,0.98,0.98,0.98,0.98,3.93,0,0,0,0,0.98,0,5.89,0,0,0,0.98,34.36,0,1.96,0,0.98,0
 84-94,0,0,0,0,0,0,2.12,0,7.43,2.12,1.06,0,0,2.12,1.06,3.19,0,0,0,2.12,87.09,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,3.28,0,2.19,0,0,1.09,0,1.09,2.19,5.46,0,0,0,2.19,90.71,0,0,0,0,0
108-118,0,1.53,0.77,0.77,0,0.77,1.53,0,9.96,0,0,0,0.77,3.06,1.53,2.3,0,0,0,3.83,84.26,0,0,0,0,0.77
120,0,0,1.96,1.96,0,0,1.96,0,17.64,0,0,0,0,1.96,0,11.76,0,0,0,1.96,66.63,0,0,0,0,0
