stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,visceral_smooth_muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0,12.59,0,0,0,0,0,0
 14-21,0,0,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8,1,0,0,0,0,1,1,5,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0.82,0,0,0.82,15.6,0.82,0.82,0,0,0,0,0,3.28,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,1.61,0,0,0,0.81,2.42,0,0,0,12.89,0.81,0,0,0,0,0,0,4.83,0,0
 48-58,0,0,0,1.15,0,2.3,0,0,0.57,1.15,0.57,0,0.57,0,2.3,0,0,0,16.64,0,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,0,5.89,0,0,0,2.94,0,0,0,0.98,0.98,0,0,0,19.63,0.98,0,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,0,1.96,5.89,0,0,0,1.96,0,0,0,0,4.91,0,0,0,18.65,0,0,0.98,0,0,0,0,0,0,0.98
 84-94,0,0,0,1.06,0,5.31,2.12,1.06,0,0,0,0,1.06,0,9.56,1.06,1.06,0,3.19,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,3.28,0,0,1.09,0,0,0,0,0,2.19,0,1.09,0,5.46,0,0,0,0,1.09,0,0,0,0,0
108-118,0,0.77,0,0,0.77,4.6,0.77,0,0,0.77,0,0,0.77,0,4.6,0,0,0.77,3.06,0,0,0,0,0,0,0,0,1.53,0
120,0,0,0,0,0,7.84,0,0,0,0,0,0,0,0,3.92,0,0,0,3.92,0,0,1.96,0,0,0,0,0,1.96,0
