stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,500.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,5.26,0,0,10.51,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,18.88,0,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,1,22,4,0,5,0,0,0,1,2,0,1,0,1,0,0,0,0,13,0,0,6,71,4,1,1,0,0,4,0,3,0,7,38,0,0,1,0,0
 24-34,0,0,2.46,0,9.03,0.82,0,31.19,0,1.64,2.46,5.75,0.82,0,2.46,1.64,3.28,0.82,0.82,0.82,2.46,32.01,1.64,0,20.52,311.93,0.82,12.31,4.93,0,0,22.98,0,0,1.64,2.46,77.16,0,0,9.85,0,1.64
 36-46,0,0,0,0,5.64,0,0,61.23,0,0.81,0.81,17.72,1.61,0,0,1.61,1.61,0.81,1.61,0,1.61,27.39,0.81,0.81,5.64,376.25,2.42,4.03,4.03,0,0,20.14,0,0,0.81,0,70.9,0,0,8.06,0,0.81
 48-58,0,0,0,0,5.74,0.57,0,125.09,0.57,2.3,5.74,31.56,0.57,0,1.72,0.57,0.57,1.72,0.57,1.15,2.87,51.64,1.15,2.3,9.75,438.96,1.72,4.02,2.3,0,0,16.07,0,0,1.72,0,84.35,0,0,8.03,0,1.72
 60-70,0,0,0,0,6.87,0.98,0,188.45,0.98,3.93,1.96,50.06,1.96,0.98,0.98,5.89,2.94,0.98,0,2.94,0,80.48,0,1.96,5.89,444.63,0,3.93,1.96,0,0,13.74,0,0,1.96,0,58.89,0,0.98,0.98,0,1.96
 72-82,0,0,2.94,0,10.8,4.91,0,219.89,0,4.91,9.82,56.94,6.87,0.98,2.94,3.93,0.98,0.98,2.94,0.98,2.94,134.49,2.94,6.87,8.83,423.1,2.94,7.85,3.93,0,0.98,9.82,0,0,1.96,0,37.3,1.96,5.89,8.83,4.91,1.96
 84-94,0,0,2.12,0,27.61,2.12,0,151.87,0,7.43,4.25,27.61,9.56,0,3.19,10.62,3.19,5.31,3.19,1.06,0,70.09,1.06,5.31,9.56,182.67,0,4.25,10.62,0,1.06,35.05,0,0,3.19,0,16.99,4.25,1.06,9.56,3.19,3.19
 96-106,0,0,1.09,0,18.58,7.65,1.09,100.54,2.19,5.46,4.37,34.97,3.28,0,6.56,9.84,7.65,1.09,2.19,2.19,0,91.8,2.19,1.09,9.84,149.72,2.19,8.74,9.84,0,0,37.16,0,0,1.09,0,8.74,4.37,1.09,12.02,4.37,1.09
108-118,0,0,1.53,0,22.98,3.06,4.6,75.83,0.77,3.06,2.3,30.64,11.49,0,0.77,13.02,6.89,6.13,2.3,1.53,0.77,67.4,2.3,3.83,9.96,223.66,0.77,2.3,8.43,0,0.77,22.21,0,0,0.77,0,3.83,1.53,0.77,12.26,2.3,3.83
120,0,0,1.96,0,27.44,1.96,0,60.75,1.96,3.92,5.88,21.56,9.8,0,1.96,19.6,3.92,0,0,3.92,0,68.59,1.96,3.92,19.6,194.02,1.96,3.92,3.92,0,0,35.28,0,0,3.92,0,5.88,0,1.96,9.8,5.88,1.96
