stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,224.02,4520.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0,0
  5-6,349.39,4523.67,0,12.26,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,91.94,24.52,0,0,55.17,0,67.43,0,0,0,0,0,0,0,0,0
  7-9,47.32,55.2,0,73.6,0,0,0,170.87,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,1724.44,52.57,0,0,609.86,0,7.89,5.26,0,0,0,0,0,0,0,0
 10-12,0,34.62,0,25.18,0,0,0,91.26,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,805.62,18.88,0,0,320.99,0,0,0,0,44.06,0,0,0,0,0,0
 14-21,1,0,0,5,23,10,0,19,0,0,0,5,0,1,0,0,0,0,0,0,0,23,0,0,12,265,3,2,1,8,0,1,0,33,1,20,59,0,1,0,0
 24-34,0,0,0,0,5.75,0,0,31.19,0,0.82,0,2.46,0,0,0.82,0,0.82,0,0,1.64,0,18.88,0,0,13.13,272.52,0,1.64,3.28,0,0,4.1,0,0,0,1.64,51.71,0,0.82,0,0.82
 36-46,0,0,0,0,0.81,0.81,0,44.31,0,0,0,8.86,0,0,0,0,0,0,0,0.81,0,18.53,0,0.81,2.42,136.16,0.81,1.61,1.61,0,0,1.61,0,0,0,0,34.64,0,0.81,0,0
 48-58,0,0,0.57,0.57,1.72,0.57,0,52.79,0.57,0,0,9.18,1.15,0,0.57,0,0,0,0.57,0,0.57,17.21,0.57,0,3.44,71.73,0.57,0.57,0,0,0,0,0,0,0.57,0,21.23,0,1.15,0,0.57
 60-70,0,0,0,0,0.98,0,0,39.26,0,0,0.98,6.87,0,0,0,0.98,0,0,0.98,0.98,0.98,14.72,0,0,1.96,52.02,0,0,0.98,0,0,4.91,0,0,0.98,0,6.87,0.98,0.98,0,0
 72-82,0,0,0.98,0,3.93,0.98,0,29.45,0,0,0,14.72,0,0,0.98,0,0.98,0,0,0.98,0,18.65,0,0,4.91,46.14,0,0,0.98,0,0,0,0,0,0,0,3.93,0,2.94,0.98,0.98
 84-94,0,0,0,0,1.06,0,0,22.3,0,0,0,2.12,1.06,0,0,2.12,0,0,1.06,0,0,21.24,0,0,2.12,25.49,0,2.12,0,0,1.06,2.12,0,0,1.06,0,1.06,0,0,0,0
 96-106,0,0,0,0,3.28,1.09,0,10.93,0,0,1.09,3.28,0,0,0,1.09,0,1.09,0,0,0,4.37,0,0,2.19,21.86,2.19,3.28,0,0,0,5.46,0,0,1.09,0,2.19,1.09,1.09,0,0
108-118,0,0,0,0,3.06,0,0.77,10.72,0,0,0,5.36,0.77,0,0,0.77,0,0,0,0.77,0,8.43,0,0,3.83,30.64,0,0,0,0,0,4.6,0,0,0,0,0,0,3.83,0,0
120,0,0,0,0,0,0,0,11.76,0,0,0,3.92,0,0,0,1.96,0,0,0,0,0,13.72,0,0,5.88,19.6,1.96,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0
