stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,3,0,1,0,0,0,1,0,0,0,0,5,0,3,10,0,0,0,0,1,1,3,12,0,0,0,0
 24-34,0.82,1.64,0.82,3.28,0.82,0,0,0,0.82,0,0,0.82,0.82,0,1.64,23.8,0,0,0,0,0,0,0,6.57,0,0.82,0,0.82
 36-46,0,2.42,0,4.83,0,0,2.42,0,0.81,0.81,0,0,3.22,0,0,38.67,0.81,0,0,0.81,0,0,0,9.67,0,0,0,0
 48-58,0,0,0,8.03,0,0,5.16,0,0.57,0,0,0,4.02,0,0.57,44.18,0,0,0,0.57,0,0,0,8.61,0,1.15,0,0
 60-70,0,0,0,12.76,1.96,0,3.93,0,0,0.98,0,0,8.83,0.98,2.94,18.65,0,0,0,0,0,0,0,5.89,0,0,0,0
 72-82,0,1.96,1.96,12.76,0,0,4.91,0,0,0,0,0.98,10.8,0,0,28.47,0,0.98,0,1.96,0,0,0,3.93,0,0,0.98,0.98
 84-94,0,2.12,2.12,9.56,0,1.06,1.06,0,0,2.12,0,0,4.25,0,0,16.99,1.06,1.06,0,1.06,0,0,0,1.06,0,0,0,0
 96-106,0,0,1.09,4.37,0,0,3.28,0,0,0,1.09,0,4.37,0,1.09,10.93,0,3.28,1.09,5.46,0,0,0,0,0,0,0,0
108-118,0,1.53,0,4.6,0,0,1.53,0,0,0.77,0,1.53,5.36,1.53,0,12.26,0,0,0,3.06,0,0,0,0,0.77,0,0,0
120,0,0,0,5.88,1.96,0,1.96,0,1.96,1.96,0,0,3.92,0,0,21.56,1.96,0,0,1.96,0,0,0,0,0,0,0,0
