stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,immune,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pgc,pronephros,somites,spinal_cord,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,26.29,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,7,0,3,6,1,0,29,0,34,0,0
 24-34,0,0,0,0,0,0,0,10.67,0,0,0,0.82,0,1.64,0,12.31,0.82,13.13,1.64,0,0,12.31,0.82,32.01,0,0.82
 36-46,0,0,0,0,0,0,0,5.64,0,0.81,0,0,0,0,0,37.87,0,16.92,0,0,0,4.83,0,17.72,0,0
 48-58,0,0,0,0,0,1.15,0.57,6.89,0,0,0,0.57,0,1.15,0,41.89,0,8.61,0,0,0,1.15,0,16.07,0.57,0
 60-70,0,0,0,0,0,2.94,0,7.85,0,0,0,0,0,2.94,0,68.71,0,8.83,0.98,0,0,0,0,5.89,0,0
 72-82,0,0,0,0.98,0,5.89,0,2.94,0,0,0,0.98,0,3.93,0,51.05,0,15.71,2.94,0,0,0.98,0,5.89,0,0
 84-94,0,0,0,0,0,4.25,1.06,3.19,0,0,0,0,0,2.12,0,22.3,0,18.05,2.12,0,1.06,3.19,0,4.25,1.06,0
 96-106,0,0,0,0,0,1.09,0,5.46,0,0,0,2.19,0,6.56,1.09,27.32,0,21.86,4.37,0,0,1.09,0,1.09,0,0
108-118,0,0.77,0.77,0,0.77,1.53,1.53,4.6,0.77,0,0.77,2.3,0.77,3.06,0,15.32,0,17.62,1.53,0,0,1.53,0,3.83,0.77,0
120,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,13.72,0,7.84,0,0,0,1.96,0,3.92,0,0
