stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,52.57,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,53.5,3.15,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,30,1,1,0,1,0,1,4,1,0,5,7,0,0,0
 24-34,0,0,0,0.82,0,0,7.39,0.82,0.82,0.82,0,0,0,0,0,0,4.1,0,0.82,37.76,0.82,0.82,0,0,0,0.82,0,0,0,0,11.49,0.82,0,0
 36-46,0,0,0,0,0,0,8.86,0,0,1.61,0,0,0,0,0,0,3.22,0,0.81,45.12,0.81,0,0,0,0,0,0,0,0,0,14.5,1.61,0,0
 48-58,0,0,0,0.57,0,0,11.48,0,0.57,2.3,0,0,0,0,0.57,0,4.59,0.57,0,47.63,0,0,0,0,0,0,0,0.57,0.57,0,10.33,0.57,0,0.57
 60-70,0,0,0,1.96,0,0,18.65,0,0,3.93,0,0,0.98,0,0.98,0,6.87,0,0.98,42.21,0,0,0,0,0,0.98,0,0,0,0,6.87,0,0,1.96
 72-82,0,0,0,1.96,0,0,19.63,0,2.94,5.89,0,0,0,0,1.96,0,8.83,0,0.98,35.34,0,0.98,0.98,0,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,4.25,0,0,10.62,1.06,0,3.19,1.06,0,0,2.12,0,0,2.12,3.19,3.19,20.18,0,0,1.06,0,0,3.19,0,0,0,0,2.12,1.06,1.06,0
 96-106,0,0,0,3.28,0,0,7.65,2.19,1.09,5.46,1.09,0,0,0,0,1.09,5.46,0,3.28,15.3,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0
108-118,0,0,0,1.53,0,0.77,6.13,0,0,5.36,0,0,0,0,0,0,3.83,0,0.77,21.45,0,0.77,0,0,0,1.53,0,0,0,0,0,0.77,0.77,0.77
120,0,0,0,1.96,1.96,0,3.92,1.96,0,1.96,3.92,0,0,0,0,0,1.96,0,0,17.64,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0
