stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,91.26,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,4,119,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,3,0,24,0,3,0,0,0,0,0
 24-34,0,0,0,5.75,125.59,0,0,0.82,0,13.95,0.82,0,0,0,0,3.28,0,1.64,0,2.46,0,0.82,10.67,0,0,0,0,0,63.21,0,6.57,0.82,0,0,0,0
 36-46,0,0,0,0,60.43,0,0,3.22,0,12.89,0,0,1.61,0,0,1.61,0,0.81,0.81,1.61,0,0,9.67,0,0,0,0,0,66.06,0,1.61,1.61,0,0,0,0
 48-58,0,0,0,0,29.26,0,0,0.57,0,8.03,0,0,0,2.3,0,0.57,0,0,1.72,0.57,0,0,7.46,0,0,0,0,0,30.41,0,2.87,0.57,0,0.57,0,0
 60-70,0,0,0.98,0,47.11,0,0,3.93,0.98,26.5,0,0.98,4.91,0,0,1.96,0,0,0.98,0.98,0,0,5.89,0,0.98,0,0,0,37.3,0,0.98,1.96,0,0,0,0
 72-82,0,0,0,0,58.9,0.98,0,0.98,0,23.56,0,0.98,5.89,0.98,0.98,3.93,0.98,0,2.94,2.94,0,0,13.74,0,0.98,0,0,0.98,54.97,0,1.96,0,0.98,0.98,0,0
 84-94,1.06,0,2.12,0,96.65,1.06,0,2.12,0,40.36,1.06,0,19.12,0,1.06,7.43,1.06,1.06,2.12,2.12,0,0,4.25,2.12,1.06,1.06,0,0,156.12,0,3.19,1.06,0,0,1.06,0
 96-106,0,0,0,0,127.86,0,1.09,3.28,0,34.97,2.19,2.19,15.3,0,0,4.37,0,5.46,7.65,3.28,0,0,12.02,1.09,4.37,1.09,0,2.19,140.98,0,1.09,0,1.09,1.09,0,1.09
108-118,0,0,0,0,163.15,0,0.77,5.36,0,74.3,0,2.3,28.34,0,2.3,9.19,0,2.3,3.83,5.36,0.77,0,13.02,0.77,2.3,0.77,0,0,124.85,0,4.6,0,0.77,0.77,0,0.77
120,0,0,1.96,0,188.14,0,0,0,0,80.35,0,0,17.64,0,1.96,3.92,0,0,0,15.68,0,0,7.84,0,1.96,1.96,0,1.96,68.59,0,11.76,0,0,0,1.96,0
