stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,22,4,8,0,0,0,2,0,0,0,0,0,0,0,10,0,0,11,33,0,0,2,3,0,2,8,0,0,23,19,0,0,0,0
 24-34,0.82,1.64,7.39,0,10.67,0,0.82,0,0,0,0,1.64,0,0.82,0,0,8.21,0,0,8.21,96.04,1.64,2.46,1.64,0,0,6.57,0,0,0,5.75,31.19,0,5.75,0,1.64
 36-46,0,0,4.83,0,14.5,0,0.81,0,1.61,0.81,0,1.61,0,0,0,1.61,21.75,0.81,0.81,8.06,88.62,2.42,1.61,0,0,0,4.83,0,0,0,0,21.75,0,2.42,0,0
 48-58,0,0,1.15,0,22.38,0.57,0.57,1.72,7.46,0,0,0,0,0,0,0.57,17.21,0,0,2.87,75.74,0,1.72,1.15,0.57,0,1.15,0,0.57,0,0,13.77,0,1.15,0,0.57
 60-70,0,0,3.93,0,43.19,0.98,2.94,0.98,6.87,0,0,0,0,0,0.98,0,19.63,0.98,0,1.96,98.15,0,0,0,0,0.98,5.89,0,0,0,0,18.65,0,0.98,0,0
 72-82,0.98,0,7.85,2.94,60.86,1.96,1.96,4.91,14.72,0.98,0,0,0.98,0.98,0.98,0.98,38.28,0.98,1.96,2.94,131.54,0,1.96,1.96,0,1.96,4.91,0,0,0,0,8.83,0,6.87,0,0
 84-94,2.12,0,9.56,0,39.3,0,0,0,9.56,1.06,0,1.06,3.19,1.06,0,0,15.93,0,1.06,5.31,47.79,1.06,0,2.12,0,0,7.43,0,0,0,0,7.43,2.12,0,0,0
 96-106,0,0,7.65,1.09,18.58,0,0,0,6.56,0,1.09,0,0,0,1.09,0,25.14,1.09,0,1.09,27.32,0,2.19,1.09,0,0,7.65,0,0,0,0,1.09,2.19,4.37,0,0
108-118,0.77,0,6.13,0.77,24.51,0.77,1.53,0.77,9.96,1.53,0,0,2.3,2.3,2.3,0.77,16.09,0.77,1.53,2.3,44.43,0.77,0,1.53,0,1.53,3.83,0,0,0,0,0.77,2.3,1.53,0.77,0
120,0,0,11.76,1.96,17.64,0,1.96,1.96,1.96,3.92,0,0,0,0,3.92,0,11.76,1.96,1.96,11.76,56.83,3.92,1.96,0,0,0,3.92,0,1.96,1.96,0,3.92,0,1.96,0,1.96
