stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,liver,mesenchyme,muscle,neural,otic,periderm,spinal.cord
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.89,0,0,0,0,0,0,0,7.89,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,2,0,0,1
 24-34,0,0,0.82,0,0.82,0,0,0,0,0,3.28,0.82,0,3.28
 36-46,0,0,0,0,4.03,0,0,0,0.81,0,7.25,0,0,0.81
 48-58,0,0,0,0,4.02,0,0,0,1.15,0,12.62,0.57,0,2.87
 60-70,0,0,0,0,11.78,0,5.89,0.98,1.96,0,9.82,0,0,0.98
 72-82,0,0,0,0,10.8,0,7.85,0,3.93,0,3.93,0,0,0
 84-94,0,0,0,1.06,10.62,0,5.31,0,0,0,3.19,0,1.06,0
 96-106,0,0,0,0,7.65,0,8.74,0,0,0,4.37,0,1.09,0
108-118,0,0,0,0,12.26,0,8.43,0,0.77,0.77,0.77,0,0,0
120,0,0,0,0,3.92,1.96,5.88,0,0,0,1.96,0,0,0
