stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,17,0,0,0,0,0,1,2,0,2,9,0,0
 24-34,0,0.82,1.64,0,0.82,0,0,0.82,0.82,0,0,0.82,0,0,0,0,1.64,0,0,2.46,41.04,0.82,0,3.28,0,1.64,0,0.82,0,0,11.49,0,0.82
 36-46,0,0,1.61,0.81,4.03,0,0,1.61,0,0,0.81,0,0,0,1.61,0,4.03,0,0.81,0,27.39,0,0.81,0.81,0,4.03,0,0,0.81,0,8.06,0,0.81
 48-58,0,0,0.57,0,10.33,0,0.57,2.3,0,1.15,0,0,0,0,0,0,2.3,0,0,0,28.12,0,0,1.15,0,2.3,0,0.57,0,0,6.31,0,0
 60-70,0,0,3.93,0,18.65,0,0.98,0,0,0,0,0,0,0,0,0,7.85,0,0,0,23.56,0,0.98,3.93,0,0,0,0,0,0,3.93,0,0
 72-82,0,0,0.98,0,21.6,0,0,1.96,0,0,0,0.98,0,0,0,0.98,9.82,0,0.98,0,26.5,0,0.98,4.91,0,1.96,0,0,0,0,0.98,0,0
 84-94,0,0,2.12,0,10.62,0,0,2.12,0,0,0,1.06,1.06,1.06,1.06,0,7.43,0,0,0,6.37,0,0,1.06,0,0,0,1.06,0,0,2.12,0,1.06
 96-106,0,0,0,0,9.84,1.09,1.09,3.28,0,0,0,0,1.09,1.09,0,0,3.28,0,0,0,12.02,0,0,5.46,0,3.28,0,1.09,0,0,0,0,0
108-118,0,0,0.77,0,5.36,0,0,2.3,1.53,0,0,0.77,1.53,0,2.3,0,1.53,0,0,1.53,14.55,0,0,1.53,0,3.06,0,0,0,0,0.77,0,0.77
120,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0,9.8,1.96,1.96,1.96,21.56,0,0,3.92,0,1.96,0,1.96,0,0,0,1.96,3.92
