stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,4.93,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,4.03,0,0,0,0,0,7.25,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,10.9,0,0,0,0,0,4.59,0,0,0,0,0,3.44,0,0,0,0,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,0,2.94,0.98,0,0.98,12.76,0,0,0,0.98,0,30.43,0,0,0,0,0,6.87,0,0,0,0,0,0,0,0.98,0,0,0,0.98
 72-82,0,0,0,1.96,0,5.89,0,0,0.98,5.89,0,0.98,0,0,0,135.47,0,0.98,0,0,0,28.47,0,0,0.98,0,0,0.98,0,0,0.98,0,0,0
 84-94,0,0,2.12,3.19,0,8.5,0,0,1.06,6.37,0,1.06,0,0,0,473.67,0,3.19,0,1.06,1.06,29.74,2.12,0,0,1.06,2.12,0,0,2.12,0,1.06,0,0
 96-106,0,0,3.28,1.09,0,15.3,0,0,6.56,3.28,0,1.09,1.09,1.09,1.09,673.19,0,13.11,2.19,0,1.09,107.1,1.09,1.09,0,0,6.56,0,0,1.09,0,2.19,1.09,1.09
108-118,0,0.77,4.6,1.53,0.77,14.55,0.77,0.77,1.53,1.53,0.77,0,0,0.77,0,1319.75,0.77,13.79,0,0,0.77,78.13,0,0.77,0,0,3.83,0.77,1.53,0.77,0,0.77,0,0.77
120,0,0,3.92,5.88,1.96,5.88,0,1.96,1.96,0,0,0,0,0,0,582.06,0,7.84,0,0,0,41.16,0,0,0,0,1.96,0,0,0,0,1.96,0,0
