stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,spinal.cord
  3-4,26.36,474.41,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0
  5-6,6.13,226.8,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,2.63,0,5.26,0,5.26,0,0,0,0,0,0,26.29,0,0,2.63,0,2.63,0
 10-12,0,3.15,0,0,6.29,0,0,0,0,0,0,18.88,6.29,0,6.29,0,0,0
 14-21,0,0,0,0,0,0,1,1,0,0,0,2,29,0,0,1,0,4
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,18.06,2.46,0.82,0,0,0,3.28
 36-46,0,0,0,0,0,0,0,0,0,0,0,31.42,0,2.42,0,0,0,5.64
 48-58,0,0,0,0.57,1.15,0,0.57,0,1.15,0.57,0.57,48.77,0.57,0.57,0,0,0,6.89
 60-70,0,0,0,0,10.8,0,0,0,0,2.94,0,76.56,0.98,0.98,0,0,0,9.82
 72-82,0,0,0,0,14.72,0,0,0,0,4.91,0.98,60.86,0,0,0,0,0,7.85
 84-94,0,0,0,0,20.18,1.06,1.06,0,0,1.06,0,29.74,1.06,0,0,0,0,5.31
 96-106,0,0,0,0,14.21,0,0,0,0,2.19,0,26.23,0,0,0,0,0,0
108-118,0,0,0,0,9.96,0.77,0.77,0,0,0,0,27.57,0,0,0,0,0,2.3
120,0,0,0,0,11.76,0,3.92,0,0,3.92,0,39.2,0,0,0,1.96,0,0
