stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,55,1,1,10,36,2,0,0,0,0,0
 24-34,0,0,1.64,0,1.64,0,0,0,0.82,0,0,0,0,0,0,0,0.82,1.64,1.64,12.31,0,0,0,0,281.55,0,2.46,0.82,6.57,2.46,0,0,0,0,0.82
 36-46,0,0,0.81,0,2.42,0,1.61,0,0,0,0,0,0.81,0,0,0,0.81,1.61,0.81,8.06,0,0,0,0,294.07,0,0,0,0,3.22,0,0,0,0,0
 48-58,0,0,4.59,0,2.3,0,6.31,0,1.72,0.57,0,0,0,0,0,0,2.87,4.59,2.3,13.77,0.57,0,1.15,0,363.79,0,0,0,0,2.3,0,0,0,0,1.72
 60-70,0,0,3.93,0,2.94,0,8.83,0,0.98,0,0,0,1.96,0,0,0,0.98,3.93,0,13.74,0,0,0,0,461.32,0,0.98,0,0,1.96,0,0,0,0,0
 72-82,3.93,0,29.45,0.98,7.85,0,29.45,1.96,0,3.93,0,0.98,8.83,0,0,0,3.93,14.72,0,23.56,0,0,0.98,0,847.17,0,1.96,0,0,1.96,0.98,0,0,0.98,0
 84-94,1.06,0,38.23,0,5.31,0,49.92,0,0,4.25,0,1.06,19.12,0,0,1.06,7.43,19.12,0,11.68,0,0,0,0,1919.1,0,4.25,0,0,0,2.12,1.06,0,0,0
 96-106,3.28,0,100.54,4.37,13.11,1.09,77.59,0,9.84,4.37,1.09,3.28,38.25,1.09,1.09,3.28,5.46,30.6,3.28,29.51,0,1.09,0,0,1866.58,0,3.28,1.09,0,1.09,5.46,1.09,1.09,1.09,0
108-118,0,0.77,91.15,0,5.36,0,118.72,0,5.36,5.36,0,2.3,41.36,0,1.53,0.77,6.89,35.23,1.53,25.28,0,0,0.77,0,1489.8,0,6.13,0,0,1.53,4.6,0,1.53,0,0
120,0,0,64.67,1.96,5.88,0,86.23,0,1.96,5.88,0,1.96,17.64,0,1.96,0,1.96,21.56,1.96,19.6,0,1.96,0,0,803.51,0,3.92,0,0,1.96,0,0,0,1.96,1.96
