stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,hatching.gland,iridophores,liver,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,xanthophores
  3-4,39.53,1291.44,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,6.13,625.22,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,0,0,0
  7-9,2.63,13.14,2.63,0,0,0,0,2.63,0,0,84.12,0,0,23.66,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,12.59,0,0,6.29,0,3.15,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,0,0,0,0.98,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,1.06,0,0,0,1.06,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
