stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,gut,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,visceral_smooth_muscle
  3-4,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
 24-34,0,0,4.1,0,0,0,10.67,0,0,0.82,0,0,0,0.82,0,1.64,0,0,0,0,0.82,2.46,0,0,0
 36-46,0,0,0,0,0,0,4.83,0,0,0,0,0,0.81,0.81,1.61,0,0,0,0,0,0.81,0,1.61,0,0
 48-58,0,0,0,0,0.57,0,5.16,0.57,0,0,0,0,1.15,0,2.3,0,0,0,0,0,2.87,0,2.87,0,0
 60-70,0,0,0.98,0,0,0.98,1.96,0.98,0,0,0,0,0,0,0,0.98,0,0,0,0,1.96,0,1.96,0,0
 72-82,0,0,0,0,2.94,0.98,1.96,0,0,0,0,0,5.89,0,6.87,0,0,0,0,0,0,0,0.98,0,1.96
 84-94,0,0,0,0,0,2.12,1.06,0,0,0,0,1.06,4.25,0,8.5,1.06,0,0,0,0,3.19,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,1.09,0,5.46,0,7.65,2.19,0,1.09,0,0,2.19,0,0,1.09,0
108-118,0,0,0.77,0,0,1.53,0,0,0.77,0,0,0,5.36,0.77,11.49,0.77,0,0,0,0,2.3,0,0,0.77,0
120,0,0,0,0,0,5.88,3.92,0,0,0,0,0,7.84,0,5.88,0,0,0,0,0,3.92,0,1.96,0,0
