stage,erythrocytes,eye,fin.mesenchyme,glial,immune,ionocyte,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,2.46,0,0,0,0,0,13.13,0,0.82,0.82,0,1.64,0,0
 36-46,0,0,0.81,0.81,0,0,0,0,0,0,0.81,12.89,0.81,0,0,0,0.81,0,0
 48-58,0,0,0,0.57,0,0,0,0,1.72,0.57,1.15,21.8,1.15,0,0,0,0.57,0,1.15
 60-70,0,3.93,0.98,0,0,0,0,0,3.93,0,2.94,12.76,0,0,0,0,0,0,2.94
 72-82,0.98,17.67,0,0.98,0,0.98,0,0,19.63,0,2.94,19.63,0,0,0.98,0,0.98,0,0.98
 84-94,0,9.56,0,0,1.06,0,0,0,27.61,0,1.06,23.36,1.06,0,0,1.06,0,0,3.19
 96-106,0,16.39,0,0,0,0,0,0,13.11,1.09,1.09,24.04,1.09,0,0,0,0,0,6.56
108-118,0,13.02,0,0,0,0,0.77,0.77,13.79,0.77,2.3,20.68,0,0.77,0,0,0,0.77,6.13
120,0,9.8,0,0,0,0,0,0,5.88,0,3.92,27.44,0,0,0,0,0,0,3.92
