stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,226.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,7.89,0,0,0,13.14,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,94.63,10.51,0,0,55.2,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,1,19,6,0,20,0,0,2,0,0,0,0,1,0,0,1,0,8,0,0,7,89,5,1,1,1,0,0,11,2,3,24,22,0,0,2,0,2
 24-34,0,0,0,0,5.75,1.64,0,21.34,0.82,0,4.1,0,0,0,0,0.82,0,0,0,0,12.31,0,0,5.75,114.92,0,1.64,0.82,0,0,7.39,0,4.1,0,4.93,29.55,0,0,4.1,0,0
 36-46,0,0,0,0,2.42,0,0,8.86,0,0,0.81,0,0,0,0,0,0,0,0,0,4.03,0,0,0,24.98,0,0.81,0,0,0,0,0,0.81,1.61,0,6.45,0,0,0.81,0,0
 48-58,0,0,0,0,1.15,0.57,0,43.61,0.57,0.57,11.48,0.57,0,0.57,0,1.15,1.15,0,0,0.57,20.66,0,0,2.3,38.44,0,3.44,1.72,0,0,1.15,0,0,0,0,11.48,0,0.57,1.15,0,0.57
 60-70,0,0,0,0,2.94,0,0,140.36,0.98,2.94,18.65,0,0,0,1.96,0.98,0.98,1.96,0,1.96,46.13,0,1.96,1.96,96.19,0.98,0.98,2.94,0,0.98,4.91,0,0,0,0,10.8,0,0.98,0.98,0,0.98
 72-82,0,0,0,0,1.96,0,0,25.52,0,0,4.91,0.98,0,0,0.98,0,0,0.98,3.93,0,4.91,0,0,3.93,15.71,0,1.96,0,0,0,1.96,0,0.98,0,0,2.94,0,0,1.96,0,0
 84-94,0,0,2.12,0,16.99,1.06,1.06,71.16,0,2.12,14.87,4.25,0,1.06,2.12,2.12,2.12,0,0,0,30.8,1.06,0,8.5,35.05,0,3.19,2.12,0,0,5.31,0,1.06,0,0,5.31,0,1.06,1.06,0,1.06
 96-106,0,0,1.09,0,4.37,0,0,13.11,0,0,3.28,1.09,0,0,1.09,2.19,0,0,0,0,7.65,0,0,1.09,4.37,0,3.28,0,0,1.09,2.19,0,0,0,0,0,1.09,0,1.09,0,0
108-118,0,0,0.77,0,6.89,1.53,1.53,39.83,3.06,2.3,16.85,1.53,0,0,2.3,0.77,1.53,0.77,3.83,1.53,30.64,0,0,6.89,49.79,1.53,6.13,1.53,0,1.53,7.66,0,0.77,0,0,1.53,0,0.77,0.77,1.53,0.77
120,0,0,0,0,5.88,1.96,0,11.76,0,0,5.88,0,0,0,3.92,0,0,1.96,0,0,9.8,0,0,3.92,21.56,0,0,1.96,0,0,5.88,0,0,0,0,0,0,0,3.92,0,0
