stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,12.59,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5,0,4,0,0,0,1,1,0,0,0,0,0,0,6,0,3,47,2,0,0,0,0,3,0,3,13,0,0,0,0,0
 24-34,0,0.82,0.82,0,10.67,0,0,0,0.82,0,0,0,0,0,0,0,13.13,0,5.75,27.91,0,0,0,0,0,0,0,0,4.93,0,0,2.46,0,0
 36-46,0,0,0.81,0,11.28,0,0,0,0.81,0,0,0,0,0,0,0,4.03,0,5.64,23.36,0,0,0,0,1.61,0,0,0,8.06,0,0,0,0,0
 48-58,0,0,1.15,0,16.07,0,0,0,1.72,0,0,0.57,0,0,0,0,12.05,1.15,3.44,13.77,0,0,0,0,0,0,0,0,1.72,0,0,0.57,0,0
 60-70,0,0,0.98,0,4.91,0,0,0,6.87,0,0,0,0,0.98,0,0,11.78,0.98,0.98,7.85,0.98,0.98,0,0,0,0,0,0,0.98,0,0.98,0.98,0,0
 72-82,0,0,1.96,0,5.89,0,0,2.94,8.83,0,0,0,0.98,0.98,0,0,56.94,0.98,2.94,18.65,0.98,0.98,0,0,0,0,0,0,0,0,0,3.93,0.98,0
 84-94,0,0,1.06,0,12.74,1.06,0,3.19,8.5,0,0,0,0,0,0,0,60.54,1.06,3.19,12.74,0,0,0,0,1.06,0,0,0,1.06,1.06,0,2.12,0,3.19
 96-106,0,0,1.09,0,7.65,0,1.09,2.19,17.49,0,0,0,0,7.65,0,0,83.06,0,2.19,21.86,0,0,0,2.19,1.09,0,0,0,0,0,1.09,2.19,1.09,2.19
108-118,0,0,1.53,0,13.02,0,0.77,3.06,13.02,0,0,0,0,6.13,0.77,0.77,75.83,3.06,5.36,29.87,0.77,2.3,0,3.06,0,0,0.77,0,0.77,0,0,1.53,0.77,1.53
120,0,0,0,1.96,7.84,0,0,5.88,9.8,0,0,0,0,7.84,0,0,88.19,1.96,1.96,37.24,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
