stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,30.65,239.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,5.26,0,10.51,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.47,7.89,0,36.8,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,25.18,0,0,0,9.44,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,220.29,6.29,0,56.65,0,9.44,0,6.29,0,0,0,0,0,0
 14-21,0,0,1,16,3,0,5,0,0,3,1,0,0,1,0,0,0,10,0,0,9,63,2,2,2,0,20,9,1,2,13,21,0,1,0
 24-34,0,0,0,3.28,0,0,6.57,0.82,0,2.46,0,0.82,0,0,0,0,0,9.03,0,0,1.64,47.61,0,3.28,0,0,6.57,0,0,0,2.46,12.31,0,6.57,0
 36-46,0,0,0,0.81,0,0,1.61,0,0,2.42,0,0,0,0.81,0.81,0,0,3.22,0,0,1.61,21.75,0,0,0,0,3.22,0.81,0,0,0,4.03,0,1.61,0
 48-58,0,0,0,0.57,0,0,5.16,0,1.15,0.57,0,0.57,0,0,0,0,0,2.3,0,0,0.57,8.03,0,1.15,0,0,0.57,0,0.57,0,0,2.87,0.57,1.72,0
 60-70,0,0,0,1.96,0,0,9.82,3.93,0,0.98,0.98,0,0.98,0,0,0,0,3.93,0,2.94,0.98,12.76,0,0,0,1.96,1.96,0,0,0,0,0,0.98,0.98,0
 72-82,0,0,0,1.96,1.96,0,4.91,1.96,0.98,6.87,1.96,0,0,0,0,0,0,5.89,0,5.89,0,6.87,0,0.98,0,2.94,3.93,0,0,0,0,0,5.89,0.98,4.91
 84-94,0,0,0,2.12,1.06,0,13.81,0,2.12,4.25,2.12,0,0,0,0,0,1.06,7.43,0,1.06,1.06,4.25,0,0,0,0,7.43,0,0,0,0,1.06,1.06,1.06,6.37
 96-106,0,0,0,6.56,5.46,0,6.56,2.19,1.09,1.09,2.19,0,0,2.19,0,0,0,12.02,0,1.09,1.09,3.28,0,1.09,0,2.19,54.64,0,0,0,0,0,1.09,2.19,3.28
108-118,0,0,0,3.06,0.77,0.77,1.53,1.53,0.77,0,1.53,0,0,0,0,0,0,6.89,1.53,2.3,1.53,16.09,0,0,0,3.06,15.32,0,0,0,0,0.77,0,1.53,2.3
120,0,0,0,0,0,0,1.96,1.96,0,1.96,7.84,0,0,0,0,0,0,7.84,0,1.96,1.96,19.6,0,0,0,0,23.52,0,0,0,0,0,0,0,3.92
