stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,13.18,329.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,441.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,5.26,10.51,0,0,23.66,0,0,0,2.63,0,0,0,0,0,0,0,194.52,2.63,0,0,78.86,0,0,0,0,0,0,0,0
 10-12,0,3.15,9.44,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,157.35,3.15,0,0,53.5,0,0,0,6.29,0,3.15,0,0
 14-21,0,0,1,4,1,8,0,6,1,0,0,0,0,0,4,0,5,107,0,2,0,4,0,4,5,0,7,34,0,1
 24-34,0,0,0,2.46,1.64,25.45,0,2.46,0,0,0,0,0,0.82,22.98,0,3.28,134.62,0.82,0.82,3.28,0,0,1.64,0,0,0,21.34,0,0.82
 36-46,0,0,0,1.61,0.81,39.48,0,3.22,0,0,0,0,0.81,0,13.7,1.61,4.03,60.43,0,0,0.81,0,0,1.61,0,0,0,10.47,0,0.81
 48-58,0,0,0,1.72,0,19.51,0,1.72,0,0,0.57,0.57,0,0,13.2,0.57,2.3,25.82,0,0,0.57,0,0.57,0,0,0,0,1.15,0,0.57
 60-70,0,0,0,1.96,0,10.8,0,4.91,0.98,0,0,0,0,0,11.78,0,2.94,15.7,0.98,0,1.96,0,0.98,0.98,0,0.98,0,0.98,0,0.98
 72-82,0,0,0,0.98,0,1.96,0,4.91,0,0,0,0,0,0,5.89,0,2.94,8.83,0.98,0,1.96,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,2.12,1.06,6.37,0,2.12,0,0,1.06,0,0,0,6.37,2.12,1.06,11.68,0,0,0,0,0,1.06,0,0,0,0,0,1.06
 96-106,0,0,0,1.09,0,3.28,1.09,0,0,0,3.28,0,1.09,0,5.46,0,1.09,4.37,0,0,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,1.53,1.53,11.49,0.77,4.6,0,0,0,0,2.3,0,6.13,0,2.3,13.02,0,0,2.3,0,0,2.3,0,0,0,0,0,0.77
120,0,0,0,0,3.92,5.88,1.96,5.88,0,0,1.96,1.96,0,0,5.88,1.96,1.96,13.72,0,0,0,0,0,0,0,0,0,0,1.96,0
