stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
 24-34,0,1.64,0.82,0,0,0,0,0,0,0,0,0,2.46,0,0.82,0,0.82,13.95,4.93,10.67,0,0,4.93,0,0,0,0
 36-46,0,2.42,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,26.59,5.64,5.64,0,0,8.86,0,0,0,0
 48-58,0,1.15,0,0,0,1.72,0,0,0,0,0,0,4.59,0,1.15,0,0,19.51,4.59,12.05,0,0,6.31,0,0,0,1.15
 60-70,0,0.98,0,0.98,0,1.96,0.98,0,0.98,0,0,0,12.76,0,1.96,0,0,16.69,5.89,24.54,0.98,0,5.89,0,0.98,0,0
 72-82,0,1.96,0,0,0,5.89,0,0.98,1.96,0,0,0,26.5,0,3.93,0.98,0,27.49,2.94,58.9,0,0,4.91,1.96,0,0,0
 84-94,0,1.06,0,1.06,0,3.19,0,1.06,1.06,1.06,0,0,46.73,1.06,4.25,0,0,16.99,8.5,81.78,0,0,5.31,0,0,0,0
 96-106,0,1.09,2.19,2.19,0,2.19,0,0,2.19,1.09,2.19,0,75.41,0,3.28,0,1.09,29.51,9.84,90.71,1.09,0,0,0,0,0,0
108-118,0,0.77,2.3,0,0.77,1.53,0,0,1.53,0,0,0.77,52.85,0,5.36,0,0,26.81,9.96,67.4,3.06,0,2.3,0,0,0,0.77
120,0,0,3.92,0,0,1.96,0,0,0,0,0,0,39.2,0,0,0,0,21.56,3.92,97.99,0,0,0,0,0,1.96,0
