stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,131.78,2635.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0
  5-6,128.72,1612.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,0,61.3,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,2.63,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.87,5.26,0,0,52.57,36.8,5.26,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,3.15,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.41,6.29,0,0,25.18,37.76,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,1,18,6,0,3,0,0,0,0,14,1,0,0,0,0,0,0,0,0,20,1,0,2,0,16,0,1,4,1,13,0,0,0,0
 24-34,0,0,0,2.46,3.28,4.1,0,3.28,0,0,4.93,0.82,40.22,4.93,0,0.82,0,0.82,1.64,0,0,1.64,18.06,0,4.93,0.82,0,6.57,0,0,13.95,0,5.75,0,2.46,0,0
 36-46,0,0,0,0.81,2.42,0,0,3.22,0,0,2.42,0,37.87,0.81,0,0,0.81,0,0,0,0,0,24.17,0,0.81,0.81,0,8.06,0.81,0,10.47,0,0,0,1.61,0,0
 48-58,0,0,0,0,2.87,1.72,0,6.31,0,3.44,0.57,0.57,35.58,0.57,0,0.57,0.57,2.3,0.57,0,0,0,21.23,0,2.3,0.57,0,4.02,0,0,6.31,0,1.72,0,1.72,0,0
 60-70,0,0,0,0,2.94,0,0,2.94,3.93,2.94,3.93,0,51.04,0,0,0,1.96,2.94,2.94,0.98,0,0.98,12.76,0,2.94,2.94,0,3.93,0,0,3.93,0,1.96,0,1.96,0,0
 72-82,0,0,0.98,0.98,12.76,5.89,0,4.91,0,3.93,10.8,0,83.44,2.94,0.98,0,3.93,2.94,5.89,4.91,0,0,25.52,0,1.96,5.89,0,9.82,0,0,6.87,0,1.96,1.96,5.89,0.98,0
 84-94,0,0,2.12,0,14.87,3.19,0,7.43,5.31,1.06,29.74,0,93.46,4.25,0,2.12,8.5,11.68,7.43,6.37,0,0,21.24,0,7.43,5.31,0,28.68,0,0,18.05,0,3.19,4.25,8.5,0,1.06
 96-106,0,0,4.37,2.19,31.69,5.46,0,2.19,3.28,3.28,28.41,0,127.86,7.65,1.09,1.09,5.46,6.56,5.46,6.56,0,0,22.95,0,5.46,5.46,0,28.41,0,0,16.39,0,0,2.19,9.84,0,0
108-118,0,0,0.77,3.06,31.4,4.6,0.77,9.19,2.3,3.06,39.06,0,103.41,4.6,0,0.77,8.43,6.13,5.36,4.6,0,0.77,16.85,0,3.06,7.66,0,22.98,0,0,14.55,0,0.77,3.06,15.32,0,0.77
120,0,0,0,0,37.24,11.76,0,9.8,1.96,9.8,27.44,0,103.87,3.92,0,0,3.92,3.92,5.88,0,1.96,0,13.72,0,0,3.92,0,43.12,0,0,11.76,0,0,1.96,1.96,0,0
