stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,408.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,42.91,588.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,18.39,0,0,0,0,0,0,0
  7-9,10.51,15.77,0,13.14,0,0,18.4,0,0,0,10.51,0,0,0,0,0,0,0,0,307.56,0,0,0,102.52,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,22.03,0,0,18.88,0,0,0,12.59,0,0,0,0,0,0,0,0,191.97,6.29,0,0,34.62,0,0,9.44,0,0,0,0,0
 14-21,0,0,0,1,7,1,1,0,1,2,0,0,0,0,0,0,0,0,2,13,0,0,1,0,3,3,0,2,4,0,1,0
 24-34,0,0,0,0,3.28,0,4.93,0.82,0,0,0,0.82,0,2.46,0,0,0.82,0,1.64,16.42,0,0.82,0.82,0,5.75,0,0,0,0,0,0,0
 36-46,0,0,0,0.81,3.22,0,2.42,0,0.81,0,0,0,0,1.61,0,0,0.81,0.81,1.61,12.09,0,0.81,2.42,0,7.25,0,0.81,0,1.61,0,0,0
 48-58,0,0,0,0,4.02,0.57,4.59,0,0,0,0,0.57,0,0,1.15,0,1.15,0,0,5.16,0.57,1.15,0,0,1.72,0,0,0,2.3,0,0,0
 60-70,0,0,0,0,7.85,0,7.85,0.98,0,0,0,0,0,0,0.98,0.98,0.98,0,0,5.89,0,0.98,0,0,4.91,0,0.98,0,1.96,0,0,0
 72-82,0,0,0,0,5.89,0.98,3.93,0,1.96,0,0,0,0,0.98,0,0,2.94,0,0,9.82,0.98,1.96,0,0,1.96,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,2.12,1.06,2.12,1.06,0,0,0,0,0,0,0,0,2.12,0,0,1.06,0,0,0,0,6.37,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,3.28,0,0,0,0,1.09,0,0,0,0,1.09,0,3.28,0,0,2.19,0,1.09,0,0,6.56,0,0,0,0,1.09,1.09,0
108-118,0,0,0,0.77,4.6,0.77,1.53,0,0.77,0.77,0,0,0.77,0,0,0.77,1.53,0,1.53,3.83,0,0.77,0,0,3.06,0,0,0,0.77,0,0,0
120,0,0,1.96,0,7.84,0,7.84,0,0,3.92,0,0,0,0,0,0,0,1.96,0,9.8,0,1.96,1.96,0,13.72,0,1.96,0,1.96,0,0,0
