stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,mesenchyme,mural_cell,neural,olfactory,spinal_cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,27.09,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,139.38,0,5.64,0,0
 48-58,0,0,0,0,5.16,0.57,0,0,0.57,0,0,1.15,0,179.6,0,12.05,0,0
 60-70,0,0,0.98,0,66.74,0,0.98,0.98,1.96,0,0,0.98,0,447.57,0,26.5,0,0
 72-82,0,0,2.94,0.98,166.88,0,0,0.98,3.93,1.96,0.98,5.89,0,585.07,0.98,13.74,0,0.98
 84-94,0,2.12,3.19,2.12,104.08,0,0,1.06,5.31,0,2.12,2.12,0,296.31,1.06,7.43,0,0
 96-106,0,0,0,0,103.82,0,0,0,12.02,0,0,0,0,246.98,0,4.37,1.09,1.09
108-118,0,0,2.3,0,72,0.77,0,0,6.13,0.77,0.77,1.53,0.77,275.75,0.77,4.6,0,0
120,0,0,7.84,0,50.95,0,0,0,0,0,1.96,1.96,0,256.73,0,3.92,0,0
