stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,hatching.gland,ionocyte,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,165.5,0,0,0,0,0,0,0,0,0,18.39,6.13,0,6.13,0,0,0,0
  7-9,26.29,2.63,15.77,0,0,0,0,0,13.14,0,0,70.98,2.63,0,128.81,0,0,0,0
 10-12,0,12.59,6.29,0,3.15,0,0,0,0,0,0,6.29,0,0,40.91,0,0,56.65,0
 14-21,0,0,0,1,38,0,1,0,0,0,1,3,0,0,0,0,3,0,3
 24-34,0,0,0,0,22.16,0,0,0,0,0,0,4.93,0,0,0,0,0,0,2.46
 36-46,0,0,0,0,4.83,0,0,0,0,0,0.81,3.22,0,0,0,0,0,0,2.42
 48-58,0,0,0,0,0,0,0,0,0,0,0.57,2.87,0,0,0,0,0,0,0.57
 60-70,0,0,0,0,0.98,0,1.96,0.98,0,0,0,1.96,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,0,0.98,0.98,1.96,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,1.09,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0,0,1.53,0,0,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0
