stage,epidermis,exocrine_pancreas,eye,fin_mesenchyme,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,slow_muscle,somites,spinal_cord
 14-21,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,1.64,0,0,0,0,0,0,0.82,0.82
 36-46,0,0,0,0,1.61,0,2.42,0,0,0,0,0,0,0,0
 48-58,0,0,1.15,0.57,1.15,0,0,0.57,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,1.96,0,0,0,0.98,0,0,0,0.98,0,0
 72-82,0,0,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,6.37,0,1.06,0,0,0,0,1.06,0,0,0
 96-106,1.09,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,3.83,0,0,0.77,0,0,0.77,0,0.77,0,0,0,0,0
120,0,1.96,0,0,0,0,0,0,3.92,0,0,0,0,0,0
