stage,blastomeres,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,periderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,13,1,0,0,0
 24-34,0,0.82,0.82,0,0.82,0.82,0,0,0,2.46,0.82,0,0,0,0.82,0.82,0,0,43.51,0,0,0,0.82
 36-46,0,0,0.81,0,0,0,0,0,0,0.81,0,0.81,0,0,0,3.22,0,0.81,22.56,0,0.81,0,0
 48-58,0,0,0.57,0,0.57,0,0,0,0,0,0,1.15,0,0,0,0,0,0.57,26.97,0,0.57,0,0
 60-70,0,0,3.93,0,0,0,0,0.98,0,0,0,0,0.98,0,0,0.98,0,0.98,17.67,0,0,0,0
 72-82,0,0,1.96,0,0,0,0.98,1.96,0,0,0,0,0,0,0,0,0,0,7.85,0,0,2.94,0
 84-94,0,0,0,0,0,1.06,0,2.12,0,0,0,2.12,0,0,0,0,0,1.06,29.74,0,0,2.12,0
 96-106,0,0,4.37,0,0,2.19,0,3.28,3.28,0,1.09,0,0,0,1.09,1.09,0,0,21.86,0,0,1.09,0
108-118,0,0,4.6,0,0.77,0,0,0.77,0,0,0,0,0,0,0,2.3,0,1.53,16.85,0,0,0,0
120,0,0,3.92,1.96,0,0,0,0,0,0,0,1.96,0,1.96,1.96,1.96,0,0,21.56,0,0,0,0
