stage,blastomeres,epidermis,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
 24-34,0,0.82,0.82,0,0,0,0,0,0,0.82,0,9.03,0,0,0,0,0,0,2.46,0.82
 36-46,0,0,0,0,0.81,0.81,0,0,0,1.61,1.61,11.28,0.81,0,0,0,0.81,0,1.61,0
 48-58,0,0,2.3,0,0,4.02,0,0,0,5.74,0.57,9.75,0,0,0,0,0,0,5.16,0.57
 60-70,0,0,0,0,0,0,0,0,0,2.94,0,4.91,0,0,0,0,0,0,0,0
 72-82,0,0.98,3.93,0,0,1.96,0,0,0,8.83,0,5.89,0.98,0,0,0,0,0,0,0.98
 84-94,0,0,1.06,0,0,1.06,1.06,0,0,4.25,0,4.25,0,0,0,1.06,0,0,1.06,1.06
 96-106,0,0,2.19,0,0,1.09,1.09,0,1.09,4.37,0,4.37,0,1.09,0,0,0,1.09,0,0
108-118,0,0,0.77,1.53,0,1.53,0.77,0,0,0.77,0,3.83,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,7.84,0,0,1.96,0,5.88,0,0,0,0,0,0,0,0
