stage,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,iridophores,mesenchyme,muscle,neural,olfactory,otic,pericytes,periderm,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,3.28,1.64,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,0,0,0,1.15,0,4.02,0,0,0,0,0.57,0.57
 60-70,0,0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0
 72-82,0.98,0.98,0,1.96,0,0.98,0,0,0,0,3.93,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,0,2.12,0,0,0,0,0,0
 96-106,0,1.09,0,0,0,0,0,0,0,0,0,0,1.09,0,1.09,0,2.19
108-118,0.77,3.83,0,2.3,0,0,0,0.77,0.77,0.77,6.13,0.77,0,0.77,0.77,0.77,0
120,0,0,0,1.96,1.96,0,0,0,1.96,0,3.92,0,0,0,0,0,0
