stage,axial,epidermis,exocrine.pancreas,eye,fin.mesenchyme,glial,hatching.gland,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,9,0,0,1,0,3,0,1,0,0,1,15,0
 24-34,0,0,0,0.82,0.82,9.85,0,0,0,0,4.1,0,9.03,0,0,0.82,18.88,0
 36-46,0,0,0,1.61,0,8.86,0,0,0,0,5.64,0,13.7,0,0,0,12.89,0
 48-58,0,0,0,2.3,0,11.48,0,0,0,0,4.59,0,10.9,0,0,0,5.74,0
 60-70,0,0,0,63.8,0,7.85,0,0,0.98,0,3.93,0,12.76,0,0,0,4.91,0
 72-82,0,0,0,203.2,0,7.85,0,0.98,5.89,0,9.82,0,26.5,4.91,0,0,3.93,0
 84-94,0,0,0,218.78,0,9.56,0,1.06,0,0,7.43,0,10.62,10.62,1.06,1.06,6.37,1.06
 96-106,0,1.09,0,178.13,0,7.65,0,0,1.09,0,6.56,1.09,18.58,15.3,0,0,1.09,0
108-118,0,0.77,0.77,104.94,0,6.89,0,0.77,0,0.77,6.89,0,12.26,6.13,0,0.77,2.3,0
120,0,0,0,117.59,0,0,0,3.92,0,0,7.84,0,11.76,13.72,0,0,0,0
