stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,1,8,0,0,0,0,0
 24-34,0,0,0,14.78,0,0,13.13,0,0.82,0,0,0,0,0,0,0,0.82,0,0.82,0,0,0,85.37,0,0,10.67,0,1.64,0,0,0,0,72.24,0,0,0.82,0,0
 36-46,0,0,0,8.86,0,0,44.31,0,1.61,0,0,0,0,0.81,0,0,1.61,0,2.42,0,0,0,212.7,0,0,7.25,0,4.03,0,0,0,0,142.6,0,0,2.42,0,0
 48-58,0,0,0,11.48,0.57,0,188.78,0.57,0.57,0,7.46,0,0,0,0.57,0,1.15,0,18.36,0,0,0,289.77,0,0.57,9.75,0,5.16,0,0.57,0,0,207.72,0,0,1.15,0,0.57
 60-70,0,0,0,12.76,0,0,271.88,0,0.98,0,7.85,0,0.98,0.98,2.94,0,2.94,0,47.11,0.98,0.98,0,414.2,0,0.98,10.8,0,2.94,0,0,0,0,254.21,0.98,2.94,1.96,0,0
 72-82,0,0.98,0,17.67,0.98,0,361.25,0,1.96,0,16.69,0.98,0,0,0,0,3.93,0,54.97,0.98,0,0,590.96,0,0.98,10.8,0,1.96,0,0,0.98,0,195.35,5.89,1.96,6.87,1.96,0
 84-94,0,1.06,0,19.12,1.06,0,229.4,1.06,2.12,0,20.18,1.06,0,1.06,3.19,2.12,3.19,1.06,46.73,0,3.19,2.12,283.56,0,0,25.49,0,8.5,1.06,0,0,0,78.59,5.31,4.25,4.25,0,1.06
 96-106,0,1.09,0,19.67,1.09,0,124.58,0,1.09,2.19,18.58,1.09,0,1.09,2.19,0,5.46,2.19,30.6,1.09,1.09,0,296.16,1.09,2.19,24.04,0,9.84,0,0,0,0,42.62,8.74,1.09,1.09,1.09,0
108-118,0,0,0,18.38,0.77,0.77,153.19,0.77,1.53,0,18.38,0.77,0.77,0.77,2.3,0,1.53,0,34.47,0.77,1.53,0.77,333.19,0,1.53,16.85,0,9.19,0,0,0,0,29.11,11.49,0,3.83,0.77,0
120,0,1.96,0,29.4,1.96,0,197.94,3.92,1.96,1.96,23.52,0,0,0,1.96,1.96,1.96,0,39.2,0,3.92,3.92,491.91,1.96,0,21.56,0,7.84,0,0,0,0,50.95,11.76,1.96,9.8,0,0
