stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,liver,mesenchyme,muscle,neural,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,1,0,0,0,0,0,0,0,0,0,10,0,3,2,2,0,0,0
 24-34,4.1,0,0,0,0,0,0,0,0,0,0.82,0,23.8,0,0,0,0,0,0,0
 36-46,4.83,1.61,0,0.81,0.81,0,0,0,0,0,0,0,62.84,0.81,0,0,3.22,0,0,0
 48-58,0.57,0,0,4.02,0,0,0,0,0,0,1.15,0,70.58,0,0,0,2.87,0,0.57,0
 60-70,1.96,0,0,7.85,0,0,0.98,0,0.98,0.98,0,0,80.48,0,0,0,0.98,0,0,0
 72-82,2.94,0.98,0,6.87,0,0,1.96,0,0,0,0.98,0,150.19,0,0,0,0.98,0,0,0
 84-94,6.37,0,0,10.62,0,1.06,1.06,1.06,0,0,2.12,0,69.03,1.06,0,0,2.12,0,1.06,1.06
 96-106,9.84,1.09,1.09,14.21,0,0,3.28,0,0,0,1.09,1.09,75.41,2.19,0,0,2.19,0,0,0
108-118,9.19,2.3,0,4.6,0,0.77,0,0,0,0,2.3,0,109.53,0.77,0,0,1.53,1.53,0,0
120,5.88,0,0,3.92,0,1.96,0,0,0,0,3.92,1.96,125.43,0,0,0,3.92,0,0,0
