stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,18.4,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0,0,0,9.03,0,0,0,0,0,4.1,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0.81,0,1.61,0,0,0,0,6.45,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.57,0,0,0,0,3.44,0,2.3,0,4.02,0.57,0,0,0,9.18,0,0,0,0,1.15,0.57,0,0
 60-70,0,0.98,0,2.94,0,1.96,0,0,1.96,0,0,0,0,13.74,0,5.89,0.98,3.93,0,0,0,0.98,28.46,0,0,0,0.98,3.93,0,2.94,0
 72-82,0,0.98,0,1.96,0,0.98,0,0,0,0,0,0,0.98,16.69,0,10.8,0,6.87,0,0.98,0,0,41.23,0,0,0,0,7.85,0,6.87,0
 84-94,0,1.06,0,4.25,0,1.06,0,0,2.12,0,0,0,0,7.43,0,9.56,0,8.5,0,0,0,0,111.51,0,0,0,0,8.5,1.06,5.31,0
 96-106,0,7.65,1.09,2.19,0,1.09,1.09,1.09,3.28,1.09,0,0,0,17.49,2.19,6.56,2.19,4.37,0,0,0,1.09,134.42,0,0,0,1.09,6.56,0,18.58,1.09
108-118,0,3.83,0,3.83,2.3,0.77,0,0,2.3,1.53,0.77,0,1.53,15.32,2.3,7.66,0,6.89,0,0,0,3.06,132.51,0,0,0,2.3,1.53,2.3,8.43,0
120,0,5.88,0,3.92,0,0,0,0,1.96,0,0,1.96,0,21.56,1.96,19.6,0,3.92,0,0,0,0,94.07,0,0,0,3.92,1.96,0,15.68,0
