stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,gut,heart,immune,lateral.line,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0.82,0.82,0,0,0.82,0,0.82
 36-46,0,0,0,0,1.61,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.57,0,0,2.87,0,0
 60-70,0,0,0,1.96,0,0,0,0,0,0,0.98,0.98,0,0.98,0.98,0
 72-82,0,0,0,0,0.98,0,0,0.98,0,0,0.98,0,0,0.98,0,0
 84-94,0,1.06,0,2.12,0,1.06,0,1.06,0,0,0,0,0,3.19,0,1.06
 96-106,1.09,1.09,0,1.09,0,1.09,1.09,0,0,0,0,1.09,0,1.09,1.09,0
108-118,0,0.77,0,0,0,0.77,0,0.77,0,0.77,0.77,0,0,0.77,0,0
120,0,0,1.96,0,0,0,0,1.96,1.96,1.96,0,0,0,1.96,0,1.96
