stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,9,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,3,31,3,0,0,1,0,1,2,0,1,22,0,0,2,0,0
 24-34,0,0,0.82,6.57,1.64,4.1,0,0,0,1.64,0,0,1.64,0,3.28,0,1.64,0,0.82,7.39,0.82,0,1.64,220.81,3.28,3.28,0,0,0,0,0,0.82,2.46,62.39,0,0,7.39,0,0.82
 36-46,0,0,0,10.47,0,18.53,0,1.61,0,5.64,0,0,1.61,0,1.61,0,0,0,0.81,13.7,0,0,2.42,638.09,0.81,12.09,0,0,0,4.03,2.42,0,0.81,145.02,0,0,3.22,0,1.61
 48-58,0,0,0,13.77,0,72.3,2.87,4.59,0.57,10.9,0,0,1.72,0,0,0,0,0,3.44,16.07,1.15,0,1.72,718.4,0,1.72,0,0,0,4.02,0.57,1.15,0,146.32,0,0,2.3,0,4.02
 60-70,0,0,0,52.02,0,224.77,1.96,1.96,1.96,18.65,0,0,0.98,0,0.98,0,0,0,1.96,35.33,0.98,0.98,1.96,1064.95,1.96,3.93,0.98,0,1.96,7.85,0.98,0.98,0,148.21,0.98,1.96,1.96,0,2.94
 72-82,0,0,0,55.95,0.98,200.26,0,0,3.93,41.23,1.96,0,0.98,0.98,4.91,0.98,1.96,0,1.96,53.01,0,1.96,0.98,625.32,0,6.87,0.98,0,0.98,1.96,0.98,0,0,68.72,0,0,12.76,1.96,1.96
 84-94,0,0,0,174.17,0,131.69,0,11.68,1.06,28.68,4.25,0,1.06,1.06,4.25,3.19,1.06,0,4.25,28.68,1.06,3.19,6.37,343.04,1.06,8.5,2.12,0,0,7.43,3.19,0,0,46.73,0,1.06,8.5,1.06,3.19
 96-106,0,0,0,114.75,0,101.63,1.09,6.56,2.19,20.76,5.46,0,0,0,8.74,1.09,1.09,0,2.19,26.23,1.09,1.09,3.28,227.31,0,6.56,1.09,0,2.19,12.02,0,1.09,0,17.49,1.09,2.19,5.46,2.19,1.09
108-118,0,0.77,0,137.87,0,62.04,2.3,6.13,2.3,19.92,6.89,0.77,0,0,5.36,0,1.53,0.77,2.3,19.15,1.53,2.3,1.53,215.24,0,7.66,0.77,0,0.77,1.53,0.77,1.53,0,8.43,2.3,1.53,5.36,0.77,2.3
120,0,0,0,125.43,0,43.12,0,11.76,0,21.56,3.92,0,0,0,3.92,0,0,0,1.96,19.6,1.96,0,5.88,197.94,0,9.8,0,0,0,3.92,1.96,1.96,0,7.84,1.96,1.96,1.96,0,1.96
