stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,liver,mesenchyme,mucous,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,18.4,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
 24-34,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,1.64,15.6,0,0,0,6.57,1.64,0,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,5.64,30.62,0,0,0,4.03,0,0,0,0
 48-58,0,1.15,0,0,0,1.72,0,0,0,0,0,0,0,0,2.87,20.08,0,0,0,5.74,0.57,0,0,0
 60-70,0,3.93,0,0,0,0.98,0,0,0,0.98,0,0,0.98,0,19.63,22.58,0,0,0,3.93,0,0,0,0
 72-82,0,8.83,0,0.98,0.98,2.94,0,0,0,4.91,0,0,0.98,0,25.52,29.45,0.98,0,0.98,1.96,0,0.98,0,0
 84-94,0,9.56,2.12,0,0,6.37,0,1.06,1.06,7.43,0,0,2.12,0,9.56,31.86,0,0,0,4.25,0,0,0,0
 96-106,0,14.21,3.28,3.28,0,1.09,1.09,0,2.19,5.46,0,0,0,0,13.11,57.92,1.09,0,1.09,4.37,0,0,1.09,1.09
108-118,0,6.13,3.06,0,0,0.77,0,0,1.53,3.83,0,0.77,1.53,0.77,13.02,36.77,1.53,0,0,5.36,0,0.77,0,0
120,0,3.92,1.96,0,0,0,0,0,0,3.92,0,0,1.96,0,31.36,23.52,0,0,0,7.84,0,0,0,0
