stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,7.89,2.63,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,9.44,3.15,9.44,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,5,0,0,0,3,1,1,2
 24-34,0,0,0,0,0,0,0,0.82,10.67,0,0,0,0,0,0,2.46
 36-46,0,0,0,0,0.81,0,0.81,0,4.03,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,1.72,0,1.72,0,0,0,0,0,0,0
 60-70,0,0,0,0,1.96,2.94,0.98,0.98,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,1.96,0,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,2.12,3.19,1.06,1.06,0,0,0,0,0,0,0
 96-106,0,0,1.09,0,0,0,2.19,0,2.19,0,0,0,0,0,0,0
108-118,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0
