stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,5,72,0,2,0,0,0,0,0,3,0,266,55,10,0,0,0,0,0
 24-34,0,0,0,0,0,1.64,0.82,0,0,1.64,0,0.82,0,0.82,0,0.82,3.28,0,0,0,0,10.67,68.13,0.82,4.93,0,0,0,0.82,0,0.82,0,147.75,13.13,11.49,0,0,0.82,0,0
 36-46,0,0,0,0,0,2.42,3.22,0,0,0.81,0,0,0,0,0,0,0,2.42,4.03,0,0.81,9.67,33.84,0.81,0,0,0.81,0,0.81,0,0,0,96.68,4.83,23.36,0,0,0.81,0,0
 48-58,0,0,1.15,0,0,8.03,12.62,0,0.57,0.57,0,0,0,0,0,0,0,2.87,31.56,0,0,27.54,32.71,0,1.15,0,0,0,1.15,0,0,0,63.69,0,8.61,0,0,1.72,0,0.57
 60-70,0,0,2.94,0.98,0,27.48,59.87,0,0,2.94,0,0,0,0.98,0,0,0,0.98,72.63,0,0,46.13,47.11,0,0,0,0.98,2.94,1.96,0,0,1.96,39.26,0,6.87,0,0,0.98,0,1.96
 72-82,0,0,5.89,2.94,0,44.17,63.81,2.94,0,17.67,0.98,0,0.98,0,0.98,0,1.96,0.98,133.51,0.98,1.96,36.32,74.61,0,1.96,0,0.98,0,5.89,0,0,0,29.45,0,6.87,0.98,1.96,0.98,0.98,1.96
 84-94,0,0,8.5,5.31,0,44.61,84.96,1.06,2.12,8.5,2.12,0,0,0,2.12,1.06,1.06,3.19,100.89,0,0,35.05,47.79,0,1.06,0,0,1.06,8.5,1.06,0,0,20.18,0,3.19,1.06,0,4.25,2.12,0
 96-106,0,0,3.28,5.46,3.28,19.67,85.24,1.09,2.19,8.74,0,1.09,2.19,2.19,1.09,1.09,3.28,0,101.63,0,4.37,27.32,45.9,0,0,1.09,1.09,3.28,10.93,0,0,1.09,25.14,0,0,1.09,0,5.46,1.09,1.09
108-118,0,0.77,7.66,0.77,1.53,22.98,85.79,1.53,1.53,9.19,1.53,0,0.77,0.77,1.53,0,1.53,3.06,88.09,0,1.53,24.51,45.96,0.77,0,0.77,0,0.77,4.6,0,0,0,13.79,0,1.53,1.53,0,2.3,1.53,0.77
120,0,0,1.96,3.92,0,5.88,60.75,0,0,7.84,0,0,0,0,0,0,0,0,31.36,3.92,0,13.72,21.56,0,0,1.96,0,0,3.92,0,0,0,13.72,0,0,0,0,0,1.96,0
